Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
0.0,122.18,328.68,300.29,150.48,89.79,83.54
0.0,122.18,328.68,300.29,150.48,89.79,83.54
0.0,122.18,328.68,300.29,150.48,89.79,83.54
0.0,122.18,328.68,300.29,150.48,89.79,83.54
0.0,122.18,328.68,300.29,150.48,89.79,83.54
0.0,122.18,328.68,300.29,150.48,89.79,83.54
0.0,122.18,328.68,300.29,150.53,89.79,83.54
0.0,122.18,328.68,300.29,150.61,89.79,83.54
0.0,122.18,328.68,300.29,150.65,89.79,83.54
0.0,122.18,328.68,300.4,150.69,89.79,83.54
0.0,122.18,328.68,300.4,150.73,89.79,83.54
0.0,122.18,328.68,300.4,150.78,89.79,83.54
0.0,122.18,328.68,300.4,150.82,89.79,83.54
0.0,122.21,328.68,300.4,150.82,89.79,83.54
0.0,122.21,328.68,300.4,150.82,89.79,83.33
0.0,122.21,328.68,300.4,150.82,90.0,83.54
0.0,122.21,328.68,300.4,150.86,90.0,83.54
0.0,122.21,328.68,300.4,150.9,90.0,83.54
0.1,122.21,328.68,300.4,150.94,90.0,83.54
0.1,122.21,328.68,300.4,151.03,89.79,83.54
0.1,122.21,328.68,300.4,151.2,90.0,83.54
0.1,122.21,328.68,300.4,151.28,89.79,83.54
0.1,122.21,328.68,300.4,151.32,89.79,83.54
0.1,122.21,328.68,300.4,151.32,89.79,83.54
0.1,122.21,328.68,300.29,151.37,89.79,83.54
0.1,122.21,328.68,300.29,151.37,89.79,83.54
0.1,122.21,328.68,300.29,151.37,89.79,83.54
0.1,122.21,328.68,300.29,151.41,89.79,83.54
0.1,122.21,328.68,300.29,151.49,89.79,83.54
0.1,122.21,328.56,300.29,151.58,89.79,83.52
0.1,122.21,328.56,300.29,151.7,89.79,83.54
0.1,122.21,328.56,300.29,151.87,89.79,83.54
0.1,122.21,328.56,300.29,151.83,89.79,83.54
0.1,122.21,328.56,300.29,151.79,89.79,83.54
0.1,122.21,328.43,300.29,151.66,89.79,83.54
0.1,122.21,328.43,300.29,151.45,89.79,83.54
0.2,122.21,328.43,300.29,151.28,89.79,83.54
0.2,122.21,328.43,300.29,151.16,89.79,83.54
0.3,122.21,328.43,300.29,151.07,89.79,83.54
0.3,122.21,328.43,300.29,150.94,89.79,83.54
0.3,122.21,328.43,300.29,150.86,89.79,83.54
0.4,122.21,328.43,300.29,150.78,89.79,83.54
0.4,122.21,328.43,300.29,150.65,89.79,83.54
0.4,122.21,328.43,300.29,150.53,89.79,83.54
0.5,122.21,328.56,300.29,150.4,89.79,83.54
0.5,122.21,328.56,300.29,150.23,89.79,83.54
0.5,122.21,328.43,300.29,149.98,89.79,83.54
0.6,122.21,328.43,300.4,149.94,89.79,83.54
0.6,122.21,328.43,300.4,149.9,89.79,83.54
0.6,122.21,328.56,300.4,149.9,89.79,83.54
0.7,122.21,328.56,300.4,149.9,89.79,83.54
0.7,122.21,328.56,300.4,149.9,83.54,
0.8,122.21,328.56,300.4,149.9,83.54,
0.8,122.21,328.56,300.4,149.9,89.79,83.54
0.8,122.21,328.56,300.4,149.9,83.54,
0.9,122.21,328.56,300.4,149.9,89.79,83.54
0.9,122.21,328.56,300.18,149.9,89.79,83.54
0.9,122.21,328.56,300.18,149.9,90.0,83.54
1.0,122.21,328.56,300.18,149.9,89.79,83.54
1.0,122.21,328.56,300.18,149.9,90.0,83.54
1.0,122.21,328.56,300.18,149.9,89.79,83.54
1.1,122.21,328.68,300.18,149.9,89.79,83.54
1.1,122.21,328.68,300.07,149.9,90.0,83.54
