R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
123.23,319.26,289.05,153.02,88.33,82.66
123.23,319.26,289.05,153.02,88.11,82.66
123.23,319.26,289.05,153.02,88.32,82.66
123.23,319.26,289.05,153.02,88.32,82.66
123.23,319.26,289.05,153.02,88.12,82.66
123.23,319.26,289.05,153.06,88.32,82.66
123.23,319.38,289.05,153.11,88.11,82.69
123.23,319.38,289.05,153.49,88.11,82.69
123.26,319.38,289.05,153.75,88.11,82.69
123.26,319.38,289.05,153.71,88.32,82.69
123.26,319.38,289.05,153.71,88.32,82.85
123.23,319.38,289.05,153.71,88.32,82.85
123.23,319.38,289.05,153.71,88.1,82.87
123.23,319.38,289.05,153.71,88.1,82.87
123.23,319.38,289.05,153.71,88.1,82.87
123.23,319.38,289.05,153.71,88.1,82.87
123.23,319.38,289.05,153.71,88.1,82.87
123.23,319.38,289.05,153.71,88.1,82.87
123.23,319.38,289.05,153.71,88.1,82.87
123.23,319.38,289.05,153.62,88.1,82.87
123.23,319.38,289.05,153.49,88.11,82.87
123.23,319.38,289.05,153.36,88.11,82.87
123.23,319.38,289.05,152.94,88.1,82.87
123.19,319.38,289.05,152.6,88.1,82.87
123.19,319.38,289.05,152.55,88.1,82.69
123.19,319.38,289.05,152.51,88.1,82.87
123.19,319.38,289.05,152.42,88.1,82.69
123.19,319.38,289.05,152.38,88.1,82.66
123.19,319.38,289.05,152.3,88.1,82.69
123.19,319.38,289.05,152.21,88.11,82.66
123.19,319.38,289.05,152.13,88.11,82.66
123.19,319.38,289.05,152.04,88.11,82.66
123.19,319.38,289.05,151.96,88.11,82.66
123.19,319.38,289.05,151.92,88.32,82.66
123.19,319.38,289.05,151.92,88.11,82.66
123.19,319.38,289.05,151.92,88.32,82.66
123.19,319.38,289.05,151.92,88.32,82.66
123.19,319.38,289.05,151.96,88.32,82.66
123.19,319.38,289.05,151.96,88.11,82.66
123.19,319.38,289.05,151.96,88.11,82.66
123.19,319.38,289.05,151.92,88.11,82.66
123.19,319.38,289.05,151.96,88.11,82.66
123.19,319.38,289.05,151.96,88.11,82.66
123.19,319.38,289.05,152.0,88.11,82.66
123.19,319.38,289.05,152.04,88.11,82.66
123.19,319.38,289.05,152.08,88.11,82.66
123.19,319.38,289.05,152.13,88.11,82.66
123.19,319.38,289.05,152.17,88.11,82.66
123.19,319.38,289.05,152.17,88.11,82.66
123.23,319.38,289.05,152.21,88.11,82.66
123.23,319.38,289.05,152.25,88.11,82.66
123.23,319.38,289.05,152.3,88.11,82.66
123.23,319.38,289.05,152.3,88.11,82.66
123.23,319.38,289.05,152.34,88.11,82.66
123.23,319.38,289.05,152.42,88.11,82.66
123.23,319.38,289.05,152.47,88.11,82.66
123.23,319.38,289.05,152.51,88.11,82.69
123.23,319.38,289.05,152.55,88.11,82.69
123.23,319.38,289.05,152.6,88.11,82.69
123.23,319.38,289.05,152.81,88.53,82.42
123.23,319.38,289.05,153.06,85.2,81.75
123.23,319.38,289.05,153.45,79.26,78.69
123.23,319.38,289.05,153.84,72.36,74.44
123.23,319.38,289.05,154.23,66.8,70.26
123.19,319.38,289.05,154.66,62.69,67.55
123.19,319.38,289.05,155.05,61.56,66.17
123.26,319.5,289.15,155.14,62.59,67.15
123.59,319.86,289.47,155.79,63.62,67.83
123.95,320.11,289.78,156.54,63.53,67.95
124.32,320.47,290.09,157.24,62.68,67.55
124.62,320.72,290.51,157.82,60.9,66.97
124.85,320.96,290.83,158.22,59.4,66.08
125.02,321.2,291.14,158.58,58.35,65.01
125.22,321.45,291.46,158.89,57.71,64.42
125.39,321.82,291.77,159.02,57.71,64.42
125.52,322.06,292.09,159.07,57.71,64.42
125.66,322.31,292.41,158.98,57.71,64.42
125.79,322.56,292.73,158.89,57.71,64.42
125.89,322.8,293.04,158.75,57.24,64.42
125.96,323.05,293.36,158.58,56.95,64.13
126.03,323.3,293.68,158.35,56.48,63.93
125.99,323.42,293.9,158.44,56.14,63.63
125.69,323.3,293.9,157.95,55.56,63.43
125.35,323.3,293.9,157.37,55.44,63.24
125.02,323.17,293.9,156.76,55.15,63.24
124.75,323.17,293.79,156.32,55.15,63.04
124.55,323.17,293.79,156.01,55.27,63.04
124.42,323.3,293.79,155.75,55.15,63.04
124.25,323.3,293.79,155.48,54.97,62.94
124.12,323.17,293.79,155.22,54.68,62.64
123.99,323.17,293.79,155.0,54.39,62.45
123.89,323.05,293.79,154.79,54.27,62.45
123.75,323.05,293.79,154.27,54.39,62.45
123.66,323.05,293.68,154.05,54.22,62.45
123.59,323.05,293.68,153.88,54.1,62.45
123.52,323.05,293.68,153.84,53.8,62.45
