Time(s),Angle1(deg),Angle2(deg)
0.07,87.13,
0.16,87.13,
0.18,87.13,
0.21,87.13,
0.22,87.13,
0.25,87.13,
0.27,87.13,
0.28,87.13,
0.32,87.03,
0.34,87.03,
0.37,87.03,
0.39,87.03,
0.4,87.03,
0.44,87.03,
0.45,87.03,
0.48,87.03,
0.5,87.03,
0.52,87.03,
0.55,87.13,
0.57,87.03,
0.58,87.03,
0.62,87.03,
0.64,87.13,
0.67,87.13,
0.69,87.13,
0.72,87.13,
0.74,87.13,
0.75,87.13,
0.79,87.13,
0.8,87.13,
0.83,87.13,
0.85,87.02,
0.87,87.13,
0.91,87.13,
0.93,87.13,
0.95,87.13,
0.97,87.13,
0.99,87.02,
1.02,87.13,
1.06,87.13,
1.07,87.13,
1.1,87.13,
1.12,87.13,
1.14,87.13,
1.17,87.02,
1.19,87.13,
1.22,87.02,
1.24,87.02,
1.25,87.13,
1.29,87.13,
1.3,87.13,
1.34,87.13,
1.35,87.13,
1.37,87.13,
1.41,87.13,
1.43,87.13,
1.46,87.13,
1.49,87.13,
1.5,87.13,
1.53,87.13,
1.55,87.13,
1.59,87.02,
1.6,87.13,
1.63,87.13,
1.66,87.02,
1.67,87.03,
1.69,87.02,
1.73,87.13,
1.74,87.13,
1.77,87.02,
1.79,87.02,
1.82,87.02,
1.83,87.02,
1.86,87.02,
1.89,87.02,
1.92,87.03,
1.93,87.23,
1.96,87.03,
1.97,87.23,
2.01,87.23,
2.02,87.23,
2.05,87.23,
2.07,87.13,
2.1,87.13,
2.13,87.13,
2.15,87.13,
2.16,87.13,
2.19,87.03,
2.21,87.03,
2.24,87.03,
2.26,87.03,
2.29,87.02,
2.3,87.02,
2.34,87.02,
2.37,87.02,
2.38,87.02,
2.41,87.02,
2.43,87.02,
2.46,87.02,
2.48,87.02,
2.51,87.02,
2.52,87.02,
2.56,87.02,
2.57,87.13,
2.6,87.23,
2.64,87.02,
2.65,87.13,
2.68,87.13,
2.7,87.03,
2.73,87.02,
2.74,87.13,
2.78,87.13,
2.81,87.24,
2.82,87.13,
2.85,87.24,
2.87,87.24,
2.9,87.23,
2.92,87.13,
2.95,87.13,
2.98,87.13,
3.0,87.02,
3.03,87.02,
3.04,87.13,
3.07,87.13,
3.09,87.13,
3.12,87.03,
3.15,87.03,
3.17,87.03,
3.2,87.02,
3.22,87.03,
3.25,87.02,
3.26,87.02,
3.29,87.02,
3.31,87.02,
3.34,87.13,
3.36,87.13,
3.39,87.13,
3.42,87.24,
3.43,87.13,
3.47,87.03,
3.48,87.13,
3.51,87.13,
3.53,87.03,
3.56,87.03,
3.58,87.13,
3.61,87.13,
3.64,87.13,
3.65,87.13,
3.69,87.13,
3.72,87.24,
3.73,87.03,
3.77,87.03,
3.78,87.13,
3.81,87.13,
3.83,87.03,
3.86,87.24,
3.87,87.13,
3.91,87.13,
3.94,87.13,
3.95,87.13,
3.98,87.24,
4.0,87.24,
4.03,87.24,
4.05,87.24,
4.08,86.81,
4.1,85.09,
4.13,81.57,
4.14,77.46,
4.17,74.05,
4.19,71.8,
4.22,70.65,
4.24,70.42,
4.25,70.76,
4.27,71.09,
4.3,71.29,
4.31,71.33,
4.35,71.23,
4.36,70.86,
4.38,70.52,
4.39,70.32,
4.42,69.94,
4.44,69.71,
4.46,69.61,
4.49,69.51,
4.5,69.37,
4.52,69.13,
4.55,69.03,
4.57,68.79,
4.58,68.66,
4.6,68.32,
4.63,68.22,
4.65,68.18,
4.66,67.98,
4.68,67.88,
4.69,67.74,
4.71,67.5,
4.72,67.36,
4.75,67.17,
4.77,67.03,
4.79,66.93,
4.8,66.79,
4.82,66.69,
4.85,66.59,
4.87,66.55,
4.88,66.45,
4.9,66.17,
4.92,66.11,
4.94,65.93,
4.96,65.83,
4.98,65.73,
5.0,65.59,
5.02,65.49,
5.02,65.35,
5.06,65.35,
5.08,65.21,
5.1,65.11,
5.12,65.11,
5.13,64.87,
5.15,64.92,
5.18,64.92,
5.2,64.82,
5.21,64.68,
5.24,64.58,
5.26,64.49,
5.28,64.39,
5.3,64.44,
5.32,64.3,
5.34,64.15,
5.35,64.2,
5.39,64.06,
5.4,64.01,
5.42,63.91,
5.44,63.91,
5.45,63.91,
5.48,63.82,
5.5,63.58,
5.51,63.58,
5.53,63.58,
5.54,63.43,
5.57,63.43,
5.58,63.43,
5.6,63.43,
5.62,63.43,
5.64,63.34,
5.65,63.29,
5.67,63.15,
5.69,63.2,
5.7,63.2,
5.73,63.05,
5.75,63.05,
5.77,63.05,
5.78,63.1,
5.8,62.81,
5.82,62.81,
5.85,62.67,
5.87,62.76,
5.89,62.76,
5.9,62.76,
5.92,62.67,
5.93,62.67,
5.96,62.72,
5.98,62.57,
5.99,62.43,
6.01,62.43,
6.03,62.43,
6.05,62.43,
6.05,62.33,
6.08,62.28,
6.1,62.38,
6.12,62.28,
6.14,62.28,
6.15,62.19,
6.17,62.19,
6.19,62.28,
6.21,62.14,
6.24,62.04,
6.26,61.8,
6.28,61.9,
6.29,61.9,
6.32,61.9,
6.34,61.9,
6.35,61.8,
6.37,61.8,
6.39,61.66,
6.4,61.66,
6.42,61.66,
6.44,61.51,
6.45,61.51,
6.47,61.51,
6.49,61.51,
6.5,61.32,
6.52,61.42,
6.55,61.27,
6.56,61.36,
6.58,61.42,
6.6,61.32,
6.61,61.27,
6.62,61.18,
6.66,61.18,
6.67,61.18,
6.7,61.18,
6.72,61.03,
6.73,61.03,
6.75,61.03,
6.76,61.03,
6.78,61.03,
6.81,61.03,
6.83,61.03,
6.85,61.03,
6.87,61.03,
6.88,61.03,
6.9,61.03,
6.92,61.03,
6.94,61.12,
6.96,61.12,
6.97,61.12,
6.99,61.03,
7.01,61.03,
7.03,61.03,
7.05,61.03,
7.07,61.03,
7.08,61.03,
7.1,61.03,
7.11,61.03,
7.14,61.03,
7.16,61.03,
7.16,61.03,
7.19,61.03,
7.21,60.64,
7.22,60.26,
7.25,60.11,
7.27,59.96,
7.28,60.01,
7.3,60.11,
7.32,60.11,
7.34,59.96,
7.35,60.11,
7.37,60.11,
7.4,60.01,
7.41,59.96,
7.43,60.11,
7.45,60.11,
7.48,59.96,
7.49,60.11,
7.52,59.96,
7.54,59.96,
7.56,59.96,
7.59,59.87,
7.6,59.87,
7.63,59.81,
7.65,59.81,
7.66,59.81,
7.7,59.72,
7.71,59.67,
7.73,59.72,
7.76,59.63,
7.77,59.72,
7.79,59.72,
7.82,59.72,
7.84,59.72,
7.87,59.42,
7.88,59.48,
7.9,59.48,
7.93,59.48,
7.95,59.48,
7.96,59.48,
7.99,59.48,
8.01,59.48,
8.03,59.48,
8.06,59.48,
8.08,59.48,
8.09,59.48,
8.1,59.48,
8.14,59.48,
8.15,59.48,
8.17,59.18,
8.18,59.04,
8.22,59.09,
8.23,59.09,
8.25,59.09,
8.28,59.09,
8.29,59.09,
8.31,59.09,
8.34,59.09,
8.36,59.09,
8.37,59.04,
8.4,58.89,
8.42,58.94,
8.45,58.94,
8.47,58.94,
8.49,58.89,
8.51,58.94,
8.53,58.89,
8.55,58.94,
8.56,58.74,
8.59,58.7,
8.61,58.65,
8.62,58.65,
8.66,58.65,
8.67,58.65,
8.69,58.65,
8.72,58.65,
8.73,58.65,
8.75,58.65,
8.78,58.56,
8.81,58.56,
8.83,58.5,
8.84,58.5,
8.87,58.56,
8.89,58.56,
8.92,58.56,
8.94,58.56,
8.97,58.41,
9.0,58.26,
9.02,58.26,
9.03,58.26,
9.05,58.26,
9.08,58.26,
9.09,58.26,
9.11,58.26,
9.13,58.26,
9.16,58.26,
9.18,58.26,
9.19,58.26,
9.22,58.26,
9.24,58.17,
9.27,58.17,
9.28,58.11,
9.31,58.11,
9.34,58.11,
9.36,58.11,
9.39,58.11,
9.41,58.11,
9.42,58.11,
9.44,58.76,
9.47,60.07,
9.49,62.86,
9.5,66.25,
9.54,69.98,
9.57,73.28,
9.59,75.16,
9.62,75.83,
9.63,75.5,
9.66,75.27,
9.68,75.27,
9.71,75.29,
9.72,75.29,
9.76,75.29,
9.77,75.29,
9.8,75.6,
9.82,76.04,
9.85,76.5,
9.86,77.25,
9.9,77.92,
9.91,78.57,
9.94,79.0,
9.96,79.42,
9.97,79.75,
10.01,80.08,
10.02,80.42,
10.04,80.73,
10.05,81.58,
10.09,82.77,
10.1,84.05,
10.12,85.22,
10.15,86.17,
10.16,86.6,
10.18,86.6,
10.21,86.6,
10.23,86.6,
10.24,86.6,
10.27,86.6,
10.29,86.6,
10.31,86.6,
10.34,86.6,
10.35,86.6,
10.38,86.6,
10.4,86.6,
10.41,86.6,
10.45,86.6,
10.46,86.6,
10.48,86.6,
10.51,86.6,
10.52,86.6,
10.56,86.6,
10.57,86.6,
10.59,86.6,
10.6,86.6,
10.63,86.6,
10.65,86.6,
10.67,86.6,
10.68,86.6,
10.71,86.6,
10.73,86.6,
10.76,86.6,
10.78,86.6,
10.79,86.49,
10.83,85.32,
10.84,83.5,
10.87,81.76,
10.89,80.12,
10.9,78.77,
10.93,77.97,
10.96,77.66,
10.98,77.53,
11.0,77.51,
11.03,77.4,
11.04,77.17,
11.06,77.06,
11.09,77.06,
11.11,76.8,
11.14,76.7,
11.15,76.7,
11.17,76.7,
11.18,76.57,
11.22,76.46,
11.23,76.46,
11.26,76.49,
11.28,76.36,
11.31,76.33,
11.33,76.25,
11.34,76.23,
11.37,76.2,
11.39,76.1,
11.4,76.1,
11.44,76.1,
11.45,76.1,
11.48,75.99,
11.5,75.86,
11.51,75.86,
11.53,75.86,
11.56,75.86,
11.58,75.86,
11.61,75.86,
11.62,75.73,
11.65,75.73,
11.67,75.73,
11.7,75.73,
11.73,75.59,
11.75,75.59,
11.77,75.62,
11.8,75.65,
11.81,75.52,
11.83,75.59,
11.86,75.59,
11.87,75.62,
11.89,75.52,
11.92,75.49,
11.94,75.49,
11.98,75.49,
12.0,75.52,
12.02,75.49,
12.03,75.31,
12.06,75.31,
12.08,75.49,
12.11,75.38,
12.14,75.38,
12.16,75.38,
12.17,75.38,
12.2,75.38,
12.22,75.38,
12.24,75.25,
12.27,75.25,
12.28,75.25,
12.3,75.22,
12.31,75.22,
12.35,75.22,
12.36,75.22,
12.38,75.22,
12.39,75.22,
12.42,75.12,
12.46,75.04,
12.47,75.12,
12.49,75.15,
12.5,75.15,
12.54,75.15,
12.55,75.15,
12.57,75.15,
12.58,75.15,
12.61,75.15,
12.63,75.12,
12.64,75.15,
12.66,75.15,
12.69,75.15,
12.71,75.01,
12.74,75.15,
12.76,75.01,
12.79,75.01,
12.82,75.01,
12.83,75.15,
12.86,75.01,
12.88,75.01,
12.89,75.01,
12.91,75.01,
12.94,75.01,
12.96,75.01,
12.97,75.01,
13.0,75.01,
13.02,75.01,
13.04,75.01,
13.06,74.98,
13.08,75.01,
13.1,75.01,
13.11,75.01,
13.15,75.01,
13.16,75.01,
13.19,75.01,
13.21,74.98,
13.22,74.98,
13.27,74.98,
13.3,74.85,
13.32,74.96,
13.34,74.85,
13.36,74.96,
13.38,74.96,
13.4,74.85,
13.43,74.85,
13.45,74.88,
13.46,74.88,
13.49,74.77,
13.51,74.88,
13.52,74.85,
13.56,74.85,
13.59,74.85,
13.6,74.85,
13.64,74.85,
13.65,74.85,
13.67,74.85,
13.68,74.85,
13.71,74.85,
13.73,74.85,
13.74,74.85,
13.78,74.85,
13.79,74.72,
13.81,74.74,
13.84,74.85,
13.85,74.74,
13.87,74.74,
13.9,74.74,
13.93,74.74,
13.96,74.72,
14.0,74.72,
14.03,74.74,
14.04,74.72,
14.06,74.72,
14.08,74.74,
14.11,74.74,
14.12,74.72,
14.15,74.72,
14.17,74.74,
14.19,74.74,
14.22,74.74,
14.23,74.72,
14.25,74.72,
14.28,74.72,
14.29,74.74,
14.31,74.77,
14.34,74.77,
14.36,74.77,
14.39,74.77,
14.4,74.77,
14.42,75.15,
14.44,75.28,
14.47,75.78,
14.5,76.64,
14.52,77.47,
14.53,78.23,
14.55,78.9,
14.58,79.34,
14.61,79.45,
14.62,79.45,
14.64,79.47,
14.66,79.59,
14.69,79.8,
14.7,79.8,
14.73,79.92,
14.77,80.03,
14.78,80.47,
14.81,81.01,
14.83,81.24,
14.84,81.34,
14.86,81.46,
14.89,81.57,
14.92,81.67,
14.94,81.69,
14.95,81.78,
14.98,82.01,
15.01,82.87,
15.03,84.05,
15.05,85.22,
15.06,86.18,
15.09,86.6,
15.11,86.6,
15.13,86.6,
15.15,86.6,
15.17,86.6,
15.19,86.6,
15.22,86.6,
15.24,86.5,
15.25,86.5,
15.28,86.6,
15.3,86.6,
15.31,86.6,
15.34,86.6,
15.36,86.6,
15.38,86.6,
15.39,86.6,
15.41,86.6,
15.44,86.6,
15.46,86.6,
15.47,86.6,
15.5,86.6,
15.52,86.6,
15.55,86.6,
15.57,86.6,
15.6,86.6,
15.61,86.6,
15.63,86.6,
15.66,86.6,
15.68,86.6,
15.71,86.6,
15.72,86.6,
15.74,86.6,
15.77,86.5,
15.79,86.5,
15.82,86.06,
15.83,82.22,
15.85,74.83,
15.88,65.49,
15.89,56.1,
15.91,49.0,
15.94,45.77,
15.96,46.39,
15.97,50.15,
15.99,55.44,
16.02,60.35,
16.04,62.62,
16.05,61.75,
16.08,58.56,
16.1,54.41,
16.11,51.39,
16.15,50.08,
16.16,50.85,
16.19,52.54,
16.21,54.39,
16.24,55.53,
16.26,55.47,
16.27,54.39,
16.3,53.39,
16.32,52.48,
16.33,52.24,
16.37,52.33,
16.38,52.48,
16.4,52.48,
16.41,52.39,
16.43,52.39,
