Time(s),Res(O),Angles(deg)
1733109900.097794,"(123.23, 319.26, 289.05, 153.02)","(-5.67, 7.34)"
1733109900.1007442,"(123.23, 319.26, 289.05, 153.02)","(-5.45, 7.34)"
1733109900.1212173,"(123.23, 319.26, 289.05, 153.02)","(-5.66, 7.34)"
1733109900.154213,"(123.23, 319.26, 289.05, 153.02)","(-5.66, 7.34)"
1733109900.1872232,"(123.23, 319.26, 289.05, 153.02)","(-5.46, 7.34)"
1733109900.224112,"(123.23, 319.26, 289.05, 153.06)","(-5.66, 7.34)"
1733109900.2564914,"(123.23, 319.38, 289.05, 153.11)","(-5.42, 7.31)"
1733109900.2898097,"(123.23, 319.38, 289.05, 153.49)","(-5.42, 7.31)"
1733109900.3262298,"(123.26, 319.38, 289.05, 153.75)","(-5.42, 7.31)"
1733109900.3589702,"(123.26, 319.38, 289.05, 153.71)","(-5.63, 7.31)"
1733109900.3959627,"(123.26, 319.38, 289.05, 153.71)","(-5.470000000000001, 7.15)"
1733109900.4282956,"(123.23, 319.38, 289.05, 153.71)","(-5.470000000000001, 7.15)"
1733109900.4615088,"(123.23, 319.38, 289.05, 153.71)","(-5.23, 7.13)"
1733109900.4986486,"(123.23, 319.38, 289.05, 153.71)","(-5.23, 7.13)"
1733109900.531033,"(123.23, 319.38, 289.05, 153.71)","(-5.23, 7.13)"
1733109900.5638924,"(123.23, 319.38, 289.05, 153.71)","(-5.23, 7.13)"
1733109900.6006775,"(123.23, 319.38, 289.05, 153.71)","(-5.23, 7.13)"
1733109900.6329825,"(123.23, 319.38, 289.05, 153.71)","(-5.23, 7.13)"
1733109900.6705587,"(123.23, 319.38, 289.05, 153.71)","(-5.23, 7.13)"
1733109900.7029836,"(123.23, 319.38, 289.05, 153.62)","(-5.23, 7.13)"
1733109900.7360091,"(123.23, 319.38, 289.05, 153.49)","(-5.24, 7.13)"
1733109900.772922,"(123.23, 319.38, 289.05, 153.36)","(-5.24, 7.13)"
1733109900.8055422,"(123.23, 319.38, 289.05, 152.94)","(-5.23, 7.13)"
1733109900.8426282,"(123.19, 319.38, 289.05, 152.6)","(-5.23, 7.13)"
1733109900.874392,"(123.19, 319.38, 289.05, 152.55)","(-5.41, 7.31)"
1733109900.908115,"(123.19, 319.38, 289.05, 152.51)","(-5.23, 7.13)"
1733109900.9440238,"(123.19, 319.38, 289.05, 152.42)","(-5.41, 7.31)"
1733109900.9772515,"(123.19, 319.38, 289.05, 152.38)","(-5.4399999999999995, 7.34)"
1733109901.0104074,"(123.19, 319.38, 289.05, 152.3)","(-5.41, 7.31)"
1733109901.0470452,"(123.19, 319.38, 289.05, 152.21)","(-5.45, 7.34)"
1733109901.0798151,"(123.19, 319.38, 289.05, 152.13)","(-5.45, 7.34)"
1733109901.1170957,"(123.19, 319.38, 289.05, 152.04)","(-5.45, 7.34)"
1733109901.1497324,"(123.19, 319.38, 289.05, 151.96)","(-5.45, 7.34)"
1733109901.1866252,"(123.19, 319.38, 289.05, 151.92)","(-5.66, 7.34)"
1733109901.223525,"(123.19, 319.38, 289.05, 151.92)","(-5.45, 7.34)"
1733109901.2558444,"(123.19, 319.38, 289.05, 151.92)","(-5.66, 7.34)"
1733109901.2931404,"(123.19, 319.38, 289.05, 151.92)","(-5.66, 7.34)"
1733109901.3293426,"(123.19, 319.38, 289.05, 151.96)","(-5.66, 7.34)"
1733109901.3624191,"(123.19, 319.38, 289.05, 151.96)","(-5.45, 7.34)"
1733109901.398365,"(123.19, 319.38, 289.05, 151.96)","(-5.45, 7.34)"
1733109901.436716,"(123.19, 319.38, 289.05, 151.92)","(-5.45, 7.34)"
1733109901.4689932,"(123.19, 319.38, 289.05, 151.96)","(-5.45, 7.34)"
1733109901.5055504,"(123.19, 319.38, 289.05, 151.96)","(-5.45, 7.34)"
1733109901.5428798,"(123.19, 319.38, 289.05, 152.0)","(-5.45, 7.34)"
1733109901.5750737,"(123.19, 319.38, 289.05, 152.04)","(-5.45, 7.34)"
1733109901.6121154,"(123.19, 319.38, 289.05, 152.08)","(-5.45, 7.34)"
1733109901.645255,"(123.19, 319.38, 289.05, 152.13)","(-5.45, 7.34)"
1733109901.6815298,"(123.19, 319.38, 289.05, 152.17)","(-5.45, 7.34)"
1733109901.718571,"(123.19, 319.38, 289.05, 152.17)","(-5.45, 7.34)"
1733109901.7518988,"(123.23, 319.38, 289.05, 152.21)","(-5.45, 7.34)"
1733109901.78852,"(123.23, 319.38, 289.05, 152.25)","(-5.45, 7.34)"
1733109901.825444,"(123.23, 319.38, 289.05, 152.3)","(-5.45, 7.34)"
1733109901.8575845,"(123.23, 319.38, 289.05, 152.3)","(-5.45, 7.34)"
1733109901.8948238,"(123.23, 319.38, 289.05, 152.34)","(-5.45, 7.34)"
1733109901.931548,"(123.23, 319.38, 289.05, 152.42)","(-5.45, 7.34)"
