Angle1(deg),Angle2(deg)
-4.66,8.22
-4.66,8.22
-4.66,8.22
-4.66,8.22
-4.640000000000001,8.22
-4.66,8.22
-4.66,8.22
-4.640000000000001,8.22
-4.640000000000001,8.22
-4.66,8.22
-4.609999999999999,8.19
-4.66,8.22
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.3999999999999995,8.19
-4.39,8.19
-4.609999999999999,8.19
-4.6,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.6,8.19
-4.39,8.19
-4.180000000000001,7.98
-4.390000000000001,7.98
-4.4,7.98
-4.6,8.19
-4.609999999999999,8.19
81.81,
-4.39,8.19
-4.39,8.19
-4.22,8.01
-4.430000000000001,8.22
-4.430000000000001,8.22
-4.22,8.01
-4.430000000000001,8.22
-4.640000000000001,8.22
-4.43,8.01
-4.640000000000001,8.22
-4.22,8.01
-4.430000000000001,8.22
-4.430000000000001,8.22
-4.430000000000001,8.22
-4.430000000000001,8.22
81.78,
81.99,
82.02,
-4.39,8.19
-4.4,7.98
-4.4,7.98
-4.609999999999999,8.19
-4.180000000000001,7.98
-4.39,8.19
-4.430000000000001,8.22
-4.430000000000001,8.22
-4.6,8.19
-4.430000000000001,8.22
-4.6,8.19
-4.22,8.01
-4.22,8.01
-4.180000000000001,7.98
-4.449999999999999,8.01
-4.449999999999999,8.01
-4.449999999999999,8.01
-4.22,8.01
-4.640000000000001,8.22
-4.640000000000001,8.22
-4.430000000000001,8.22
-4.640000000000001,8.22
-4.640000000000001,8.22
-4.43,8.01
-4.43,8.01
-4.640000000000001,8.22
-4.640000000000001,8.22
-4.640000000000001,8.22
-4.640000000000001,8.22
-4.640000000000001,8.22
-4.640000000000001,8.22
-4.640000000000001,8.22
-4.6,8.19
-4.6,8.19
-4.390000000000001,7.98
-4.390000000000001,7.98
-4.390000000000001,7.98
-4.43,8.01
-4.43,8.01
-4.390000000000001,7.98
-4.4,7.98
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.4,7.98
-4.4,7.98
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.449999999999999,8.01
-4.4,7.98
-4.39,8.19
-4.66,8.22
-4.66,8.22
-4.449999999999999,8.01
-4.4,7.98
-4.449999999999999,8.01
-4.4,7.98
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.4,7.98
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.3999999999999995,8.19
-4.3999999999999995,8.19
-4.609999999999999,8.19
-4.4,7.98
-4.449999999999999,8.01
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.6,8.19
81.81,
-4.4,7.98
-4.609999999999999,8.19
-4.180000000000001,7.98
-4.180000000000001,7.98
-4.180000000000001,7.98
-4.430000000000001,8.22
-4.19,7.98
-4.19,7.98
-4.39,8.19
-4.180000000000001,7.98
-4.180000000000001,7.98
-4.19,7.98
-4.19,7.98
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.3999999999999995,8.19
-4.609999999999999,8.19
-4.609999999999999,8.19
-4.3999999999999995,8.19
-4.19,7.98
-4.3999999999999995,8.19
-4.3999999999999995,8.19
-4.19,7.98
-4.19,7.98
-4.19,7.98
-4.19,7.98
-4.19,7.98
-4.19,7.98
-4.19,7.98
-4.19,7.98
-4.19,7.98
-4.19,7.98
-4.4,7.98
-4.19,7.98
-4.19,7.98
-4.19,7.98
-4.3999999999999995,8.19
-4.3999999999999995,8.19
-4.4,7.98
-4.609999999999999,8.19
-4.4,7.98
-4.180000000000001,7.98
-4.19,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-4.4,7.98
-3.9799999999999995,7.77
-3.9799999999999995,7.77
-3.9799999999999995,7.77
-4.24,8.01
-3.34,7.55
-3.33,7.55
-3.12,7.34
-2.91,7.34
-2.49,7.13
-2.75,7.37
-2.49,7.13
-2.51,7.13
-2.0600000000000005,6.91
-1.6400000000000006,6.7
-1.6400000000000006,6.7
-1.8500000000000005,6.91
-1.6400000000000006,6.7
-1.2100000000000009,6.48
-1.17,6.46
-1.2300000000000004,6.48
-1.0200000000000005,6.48
-0.6000000000000005,6.48
0.04999999999999982,6.48
0.6699999999999999,6.48
0.9199999999999999,6.67
0.8899999999999997,6.91
0.8899999999999997,6.91
0.8899999999999997,6.91
1.3100000000000005,6.91
1.8099999999999996,6.89
1.7399999999999993,7.13
1.7400000000000002,7.34
2.16,7.34
2.0500000000000007,7.52
1.9099999999999993,7.79
2.380000000000001,7.77
2.8000000000000007,7.77
2.629999999999999,7.98
2.76,8.01
3.2200000000000006,8.01
2.969999999999999,8.22
3.209999999999999,8.22
3.49,8.19
3.67,8.22
3.4399999999999995,8.65
3.6500000000000004,8.65
3.8599999999999994,8.65
3.8599999999999994,8.65
4.08,8.43
4.08,8.43
4.08,8.43
4.08,8.43
3.8599999999999994,8.65
3.8599999999999994,8.65
4.08,8.43
4.08,8.43
4.08,8.43
3.8599999999999994,8.65
3.4400000000000013,8.86
3.8599999999999994,8.65
3.8599999999999994,8.65
3.8599999999999994,8.65
3.8599999999999994,8.65
3.8599999999999994,8.65
3.8599999999999994,8.65
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.2300000000000004,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.2300000000000004,8.86
3.4400000000000013,8.86
3.2300000000000004,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.41,8.89
3.41,8.89
3.41,8.89
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.41,8.89
3.4400000000000013,8.86
3.41,8.89
3.2300000000000004,8.86
3.41,8.89
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.4400000000000013,8.86
3.1999999999999993,8.89
3.4400000000000013,8.86
3.2300000000000004,8.86
3.2300000000000004,8.86
3.2300000000000004,8.86
3.2300000000000004,8.86
3.2300000000000004,8.86
3.2300000000000004,8.86
3.2300000000000004,8.86
3.0199999999999996,9.07
3.2300000000000004,8.86
3.4400000000000013,8.86
3.2300000000000004,9.07
3.0199999999999996,9.07
3.0199999999999996,9.07
3.2300000000000004,9.07
3.2300000000000004,8.86
1.0999999999999996,9.71
-0.019999999999999574,10.17
-0.4299999999999997,10.17
-0.7900000000000009,10.46
-0.75,10.42
-1.0,10.67
-1.0,10.67
-0.7900000000000009,10.46
-0.7900000000000009,10.46
-0.75,10.42
-0.7900000000000009,10.46
-0.75,10.42
-0.7900000000000009,10.46
-0.7900000000000009,10.46
-0.7900000000000009,10.46
-1.1300000000000008,10.63
-1.209999999999999,10.67
-1.0899999999999999,10.59
-1.1300000000000008,10.63
-1.1300000000000008,10.63
-1.1300000000000008,10.63
-1.1300000000000008,10.63
-1.1300000000000008,10.63
-1.3399999999999999,10.84
-1.3399999999999999,10.84
-1.1300000000000008,10.63
-1.0899999999999999,10.59
-1.1300000000000008,10.63
-1.3399999999999999,10.84
-1.3000000000000007,10.8
-1.3000000000000007,10.8
-1.3000000000000007,10.8
-1.3399999999999999,10.84
-1.3000000000000007,10.8
-1.3000000000000007,10.8
-1.0899999999999999,10.59
-1.3000000000000007,10.8
-1.3000000000000007,10.8
-1.0899999999999999,10.59
-1.3399999999999999,10.84
-1.3000000000000007,10.8
-1.3000000000000007,10.8
-1.3000000000000007,10.8
-1.0899999999999999,10.59
-1.3000000000000007,10.8
-1.3000000000000007,10.8
-1.3000000000000007,10.8
-1.3399999999999999,10.84
-1.3399999999999999,10.84
-1.3399999999999999,10.84
-1.3399999999999999,10.84
-1.3399999999999999,10.84
-1.3000000000000007,10.8
-1.3399999999999999,10.84
-1.3000000000000007,10.8
-1.3399999999999999,10.84
-1.3399999999999999,10.84
-1.3399999999999999,10.84
-1.0899999999999999,10.59
-1.1300000000000008,10.63
-1.1300000000000008,10.63
-1.1300000000000008,10.63
-1.3399999999999999,10.84
-1.3000000000000007,10.8
-1.3000000000000007,10.8
-1.3399999999999999,10.84
-1.3399999999999999,10.84
-1.3399999999999999,10.84
-1.0899999999999999,10.59
-1.3399999999999999,10.84
-1.209999999999999,10.67
-1.17,10.63
-1.17,10.63
-1.0899999999999999,10.59
-1.379999999999999,10.84
-1.3000000000000007,10.8
-1.379999999999999,10.84
-1.379999999999999,10.84
-1.379999999999999,10.84
-1.3399999999999999,10.84
-1.3399999999999999,10.84
-1.3000000000000007,10.8
-1.3000000000000007,10.8
-1.379999999999999,10.84
-1.379999999999999,10.84
-1.4299999999999997,10.89
-1.4299999999999997,10.89
