Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734216096.325272,85.42,176.97,166.84,103.08,11.39,31.68
1734216096.4479675,85.42,176.4,165.94,102.52,11.530000000000001,31.68
1734216096.5750856,84.82,173.71,163.31,101.21,11.530000000000001,31.68
1734216096.7019231,84.11,171.46,160.96,100.32,11.530000000000001,31.68
1734216096.8287272,83.33,170.03,158.79,99.07,11.530000000000001,31.68
1734216096.951683,82.42,167.99,156.66,97.78,11.39,31.68
1734216097.078396,81.88,165.65,155.34,96.64,46.93,
1734216097.2015736,81.09,163.22,153.79,95.54,11.310000000000002,31.61
1734216097.327984,80.23,160.6,151.32,94.64,11.120000000000001,31.8
1734216097.454872,79.41,158.17,148.98,94.22,11.310000000000002,31.61
1734216097.5819817,78.81,156.66,147.7,93.1,11.27,31.8
1734216097.709242,78.51,155.48,145.75,91.89,11.27,31.8
1734216097.8364527,78.03,153.66,143.76,90.7,11.27,31.8
1734216097.963195,77.2,152.12,141.8,89.53,11.120000000000001,31.8
1734216098.0898166,76.31,150.56,139.87,88.79,11.27,31.8
1734216098.2167995,75.54,149.02,138.54,87.7,11.27,31.8
1734216098.3439343,74.67,147.09,137.82,87.07,11.419999999999998,31.8
1734216098.4668446,74.37,146.97,139.18,87.64,11.419999999999998,31.8
1734216098.593749,74.2,146.56,138.99,87.59,11.27,31.8
1734216098.7215817,74.12,145.51,138.65,88.19,11.530000000000001,31.68
1734216098.8483193,74.22,145.03,139.26,88.39,11.530000000000001,31.68
1734216098.9744978,74.35,145.84,138.58,88.28,11.530000000000001,31.68
1734216099.1018674,74.69,146.16,138.01,88.07,11.27,31.8
1734216099.229073,74.69,147.29,138.27,87.75,11.27,31.8
1734216099.3554747,74.51,148.03,138.54,87.36,11.120000000000001,31.8
1734216099.4826326,74.33,147.99,138.12,87.32,11.120000000000001,31.8
1734216099.610018,73.79,146.56,138.58,87.34,11.419999999999998,31.8
1734216099.7369602,73.4,146.0,138.99,87.87,11.68,31.68
1734216099.8593466,73.36,145.11,139.6,88.44,11.68,31.68
1734216099.9860835,73.42,144.36,139.3,88.28,11.419999999999998,31.8
1734216100.1138566,73.46,143.68,139.18,88.6,11.419999999999998,31.8
1734216100.240778,73.73,143.88,138.5,88.51,46.78,
1734216100.3671997,73.93,144.12,137.22,88.19,11.419999999999998,31.8
1734216100.494505,73.96,145.15,137.56,87.87,11.559999999999999,31.8
1734216100.6214182,73.89,145.84,137.78,87.2,46.64,
1734216100.747967,73.75,146.36,137.71,87.45,46.64,
1734216100.8756683,73.29,145.31,138.09,87.5,11.75,31.61
1734216100.99874,72.8,144.75,138.39,87.64,46.64,
1734216101.1255028,72.94,143.96,138.24,88.0,11.559999999999999,31.8
1734216101.2525492,73.07,143.21,137.93,87.91,46.64,
1734216101.3795254,73.09,142.5,137.45,88.21,46.78,
1734216101.5061398,73.42,142.97,136.59,88.14,11.61,31.61
1734216101.6326928,73.38,143.13,135.96,87.52,11.61,31.61
1734216101.759894,73.36,144.08,136.0,87.39,47.08,
1734216101.8873923,73.32,144.83,136.25,87.11,47.08,
1734216102.0139115,73.19,145.31,136.44,87.09,11.120000000000001,31.8
1734216102.1411886,73.05,145.35,137.33,87.25,11.120000000000001,31.8
1734216102.264187,72.84,145.07,137.82,87.07,11.120000000000001,31.8
1734216102.391283,73.17,144.36,137.63,87.48,11.120000000000001,31.8
1734216102.518186,73.27,143.72,137.41,87.77,11.120000000000001,31.8
1734216102.6448133,73.4,143.29,136.66,87.27,11.120000000000001,31.8
1734216102.77151,73.63,143.37,136.74,87.64,11.120000000000001,31.8
1734216102.8990772,73.65,143.52,136.29,87.5,11.120000000000001,31.8
1734216103.025175,73.46,144.16,136.4,87.52,11.120000000000001,31.8
1734216103.1529808,73.48,145.03,136.63,87.29,10.98,31.49
1734216103.279982,73.34,144.79,137.41,86.95,11.189999999999998,31.0
1734216103.406695,73.02,144.47,139.03,87.52,10.39,30.89
1734216103.5289829,73.07,144.32,139.56,87.7,10.540000000000003,30.59
1734216103.656661,73.46,143.96,138.8,87.68,10.75,30.4
1734216103.783754,73.52,143.25,139.41,88.51,10.589999999999996,30.1
1734216103.9098966,74.1,143.8,138.96,88.16,10.189999999999998,30.21
1734216104.0376854,74.61,144.0,138.2,88.03,10.239999999999998,30.02
1734216104.164347,74.88,144.36,137.71,87.89,9.95,29.99
1734216104.2916715,74.41,144.91,137.78,87.48,9.98,29.8
1734216104.418201,74.43,145.8,138.16,87.2,9.84,29.8
1734216104.5451076,74.3,145.43,138.96,87.25,9.84,29.8
1734216104.6724465,74.02,145.23,138.96,87.29,9.899999999999999,29.61
1734216104.7954936,74.14,145.31,139.53,87.5,9.789999999999996,29.69
1734216104.921661,74.45,145.35,139.64,87.52,9.499999999999996,29.69
1734216105.0487487,74.45,144.51,140.14,88.26,9.499999999999996,29.69
1734216105.1763608,74.73,145.59,140.33,88.3,9.499999999999996,29.69
1734216105.302939,75.3,146.08,138.92,87.73,9.689999999999998,29.53
1734216105.4302385,75.64,146.6,138.58,87.61,9.75,29.33
1734216105.5572217,75.3,147.01,138.69,87.23,9.610000000000003,29.31
