Time(s),R1(O),R2(O),R3(O),R4(O)
0.0,210.02,224.36,214.99,153.71
0.01,210.02,224.36,214.99,153.71
0.02,210.02,224.36,214.99,153.71
0.02,210.02,224.36,214.99,153.71
0.02,210.02,224.36,214.99,153.71
0.02,210.02,224.36,214.99,153.71
0.03,210.02,224.36,214.99,153.71
0.03,210.02,224.36,214.99,153.71
0.03,210.02,224.36,214.99,153.71
0.04,210.02,224.36,214.99,153.71
0.04,210.02,224.36,214.99,153.71
0.04,210.02,224.36,214.99,153.71
0.05,210.02,224.36,214.99,153.71
0.05,210.02,224.36,214.99,153.71
0.05,210.02,224.36,214.99,153.71
0.05,210.02,224.36,214.99,153.71
0.05,210.02,224.36,214.99,153.71
0.06,210.02,224.36,214.99,153.71
0.06,210.02,224.36,214.99,153.71
0.06,210.02,224.36,214.99,153.71
0.07,210.02,224.36,214.99,153.71
0.07,210.02,224.36,214.99,153.71
0.07,210.02,224.36,214.99,153.71
0.08,210.02,224.36,214.99,153.71
0.08,210.02,224.36,214.99,153.71
0.08,210.02,224.36,214.99,153.71
0.08,210.02,224.36,214.99,153.71
0.09,210.02,224.36,214.92,153.71
0.09,210.02,224.36,214.92,153.71
0.09,210.02,224.36,214.92,153.71
0.09,210.02,224.36,214.92,153.71
0.1,210.02,224.36,214.92,153.71
0.1,210.02,224.36,214.92,153.71
0.1,210.02,224.36,214.92,153.71
0.11,210.02,224.36,214.92,153.71
0.15,210.02,224.36,214.92,153.71
0.18,210.02,224.36,214.92,153.71
0.22,210.02,224.36,214.92,153.71
0.26,210.02,224.36,214.92,153.71
0.29,210.02,224.36,214.92,153.71
0.33,210.02,224.36,214.92,153.71
0.36,210.02,224.36,214.92,153.71
0.39,210.02,224.36,214.99,153.71
0.43,210.02,224.36,214.99,153.71
0.46,210.02,224.36,214.99,153.71
0.5,210.02,224.36,214.99,153.71
0.54,210.02,224.36,214.99,153.71
0.57,210.02,224.36,214.99,153.71
0.61,210.02,224.36,214.99,153.71
0.65,210.02,224.36,214.99,153.71
0.67,210.02,224.36,214.99,153.79
0.71,210.08,224.36,215.05,153.97
0.75,210.15,224.36,215.05,154.14
0.78,210.21,224.36,215.12,154.31
0.82,210.28,224.36,215.19,154.48
0.86,210.35,224.43,215.26,154.66
0.89,210.41,224.50,215.26,154.83
0.93,210.54,224.64,215.32,155.05
0.96,211.07,225.00,215.59,155.44
1.0,211.85,225.51,179.31,155.96
1.03,212.85,226.08,150.14,156.54
1.06,213.98,226.66,126.60,157.24
1.1,215.19,227.24,107.27,157.95
1.14,216.41,227.83,90.89,158.71
1.18,217.64,228.41,77.02,159.65
1.21,218.87,229.00,65.14,160.42
1.24,220.05,229.59,54.73,161.11
1.28,221.24,230.11,45.73,161.70
1.31,222.44,230.63,37.92,162.30
1.34,223.57,231.15,31.03,162.90
1.38,224.79,231.60,24.85,163.50
1.41,226.08,232.13,19.29,164.16
1.44,227.32,232.58,14.29,164.76
1.47,228.05,232.80,9.70,165.14
1.51,228.49,232.88,9.66,165.38
1.54,228.78,232.96,9.73,165.57
1.58,228.93,233.26,9.78,165.71
1.62,228.71,233.41,10.07,165.85
1.64,228.27,233.56,14.97,165.71
1.68,227.83,233.64,20.36,165.33
1.72,227.24,233.64,26.31,164.91
1.75,226.59,233.56,33.01,164.48
1.79,225.94,233.48,40.45,164.16
1.82,225.22,233.41,48.64,163.83
1.86,224.57,233.33,57.85,163.46
1.89,223.79,233.26,68.34,163.08
1.92,222.93,233.11,80.42,162.62
1.96,222.08,232.88,94.29,162.16
1.99,221.24,232.65,110.68,161.70
2.03,220.40,232.43,130.55,161.24
2.06,219.50,232.13,154.78,160.79
2.1,218.60,231.60,185.16,160.24
2.14,217.98,231.23,221.87,159.65
2.17,217.57,230.86,221.52,159.29
2.2,217.16,230.56,221.24,158.98
2.24,216.88,230.33,221.10,158.80
2.27,216.68,230.11,220.96,158.62
2.31,216.41,230.04,220.82,158.44
2.35,216.20,229.96,220.75,158.26
2.38,216.07,229.82,220.61,158.13
2.42,215.93,229.67,220.54,158.00
2.45,215.80,229.59,220.47,157.91
2.49,215.66,229.52,220.40,157.82
2.52,215.59,229.45,220.33,157.77
2.56,215.53,229.37,220.26,157.73
2.59,215.46,229.30,220.19,157.68
2.62,215.39,229.22,220.19,157.64
2.66,215.32,229.15,220.12,157.64
2.7,215.26,229.08,220.12,157.64
2.74,215.19,229.00,220.12,157.64
2.77,215.12,228.93,220.12,157.60
2.81,215.05,228.93,220.12,157.55
2.84,215.05,228.86,220.12,157.51
2.88,215.05,228.78,220.12,157.46
2.91,214.99,228.78,220.12,157.42
2.95,214.99,228.78,220.12,157.42
2.99,214.99,228.71,220.12,157.37
3.02,214.99,228.71,220.12,157.33
3.06,214.99,228.71,220.12,157.29
3.09,214.99,228.71,220.12,157.24
3.13,214.99,228.71,220.05,157.20
3.16,214.99,228.71,220.05,157.15
3.19,214.99,228.71,220.05,157.11
3.24,214.99,228.71,220.05,157.06
3.27,214.99,228.71,220.05,157.02
3.31,214.99,228.71,220.05,157.02
3.34,214.99,228.71,219.98,157.02
3.37,214.99,228.71,219.98,157.02
3.41,214.99,228.71,219.98,157.02
3.44,214.99,228.63,219.98,157.02
3.48,214.99,228.63,219.98,156.98
3.52,214.99,228.63,219.91,156.98
3.55,214.99,228.63,219.91,156.98
3.59,214.99,228.63,219.91,156.98
3.62,214.99,228.56,219.91,156.98
3.66,214.99,228.56,219.98,156.98
3.69,214.99,228.56,219.98,156.98
3.72,214.99,228.56,219.91,156.98
3.76,214.99,228.56,219.91,156.98
3.8,214.99,228.56,219.91,156.98
3.83,214.99,228.49,219.84,156.98
3.87,214.99,228.49,219.91,156.98
3.91,214.99,228.49,219.91,156.98
3.94,214.99,228.41,219.84,156.98
3.97,214.99,228.49,219.84,156.98
4.01,214.92,228.49,219.84,156.98
4.04,214.92,228.49,219.91,156.98
4.08,214.92,228.49,219.84,156.98
4.12,214.85,228.49,219.77,156.98
4.15,214.85,228.56,219.77,156.98
4.19,214.78,228.56,219.70,156.98
4.22,214.78,228.56,219.64,156.93
4.26,214.72,228.56,219.64,156.93
4.29,214.65,228.49,219.64,156.93
4.33,214.58,228.41,219.64,156.93
4.36,214.52,228.49,219.64,156.93
4.4,214.45,228.41,219.57,156.93
4.43,214.38,228.41,219.50,156.93
4.47,214.32,228.49,219.50,156.93
4.51,214.25,228.41,219.43,156.93
4.54,214.25,228.34,219.36,156.93
4.58,214.18,228.27,219.29,156.93
4.6,214.11,228.27,219.29,156.93
4.64,214.11,228.27,219.29,156.93
4.68,214.05,228.19,219.22,156.93
4.72,214.05,228.19,219.22,156.93
4.76,213.98,228.12,219.22,156.93
4.79,214.05,228.12,219.22,156.89
4.82,214.05,228.12,219.15,156.89
4.86,214.05,228.12,219.08,156.89
4.9,214.05,228.12,219.08,156.84
4.92,214.05,228.12,219.08,156.84
4.97,214.05,228.05,219.08,156.84
4.99,214.05,227.97,219.08,156.84
5.04,214.05,228.05,219.08,156.84
5.07,214.05,228.05,219.08,156.84
5.11,214.05,228.12,219.08,156.84
5.14,214.05,228.05,219.08,156.80
5.18,214.05,227.97,219.08,156.80
5.21,214.05,227.97,219.08,156.80
