Time(s),R1(O),R2(O),R3(O),R4(O)
1734219199.925593,69.05,131.93,125.19,79.94
1734219200.049265,69.66,133.11,126.26,80.49
1734219200.175333,70.09,134.60,127.59,80.89
1734219200.2989316,70.51,136.81,128.45,81.16
1734219200.4253154,71.04,138.20,129.29,81.44
1734219200.5480535,71.25,138.65,130.37,81.67
1734219200.6750276,71.43,139.03,130.58,81.95
1734219200.7978878,71.66,139.53,131.57,82.96
1734219200.9246993,71.91,140.91,132.86,83.59
1734219201.0524874,72.71,142.03,133.47,83.81
1734219201.1753428,73.13,142.70,134.67,84.43
1734219201.3022342,73.36,144.12,135.30,84.65
1734219201.4289627,73.89,145.71,136.11,84.91
1734219201.5555983,74.06,146.00,138.39,85.67
1734219201.6784754,74.28,146.48,139.56,85.96
1734219201.8058927,74.84,147.21,139.98,86.61
1734219201.933092,74.39,147.13,140.06,86.75
1734219202.0600154,74.22,146.08,138.99,86.82
1734219202.1870296,74.22,144.20,139.18,87.14
1734219202.3100593,74.10,143.21,138.65,86.98
1734219202.4360733,74.41,144.59,138.24,87.00
1734219202.5638607,74.37,145.39,139.60,87.41
1734219202.6906817,74.35,146.04,139.45,86.59
1734219202.8138018,74.65,145.27,139.41,86.25
1734219202.9409416,74.00,145.31,140.71,86.52
1734219203.0674157,73.81,145.15,139.79,86.48
1734219203.1946173,73.96,144.43,139.64,86.79
1734219203.3174481,73.87,144.28,140.21,86.77
1734219203.4442415,74.14,144.67,138.31,86.55
1734219203.5709684,74.16,145.76,137.71,86.46
1734219203.6982198,74.02,147.38,138.27,86.10
1734219203.8212798,74.00,147.29,137.67,86.05
1734219203.94759,73.98,147.25,138.50,85.85
1734219204.075488,74.04,148.24,138.61,85.60
1734219204.1980014,73.85,148.24,139.34,86.55
1734219204.3250227,73.58,147.83,139.95,86.93
1734219204.4522758,73.91,147.21,138.77,86.73
1734219204.5784428,74.22,146.81,138.35,86.66
1734219204.701987,73.81,148.61,137.97,86.61
1734219204.8289976,73.81,148.73,136.63,86.77
1734219204.9560428,73.83,149.52,137.11,86.46
1734219205.0820289,73.92,150.22,138.09,86.23
1734219205.204947,73.71,149.23,138.46,86.79
1734219205.3327663,73.48,149.97,139.34,87.00
1734219205.4596305,73.48,148.89,139.15,87.29
1734219205.5818095,73.65,147.29,138.65,87.18
1734219205.7091165,73.87,147.66,139.41,86.75
1734219205.8359165,74.06,148.61,138.73,87.07
1734219205.963485,73.81,148.56,138.05,86.95
1734219206.0857728,74.02,149.39,138.01,86.16
1734219206.2129204,73.96,148.28,138.58,86.25
1734219206.3400874,73.73,148.24,139.30,86.10
1734219206.4669569,73.73,149.06,139.37,86.55
1734219206.5900517,73.87,147.09,139.64,87.32
1734219206.7172432,74.22,146.40,139.53,86.82
1734219206.8439114,74.79,146.04,139.26,86.75
1734219206.967101,74.73,145.35,139.18,87.09
1734219207.0938237,74.71,146.28,138.05,86.50
1734219207.220934,75.02,146.32,137.60,86.03
1734219207.3470933,74.94,147.01,139.41,85.98
1734219207.4699159,74.53,146.72,140.02,86.12
1734219207.597402,74.35,145.67,139.68,86.95
