Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734289359.5504866,56.07,48.69,60.08,56.69,-5.88,4.93
1734289359.6018662,56.62,49.02,60.31,56.88,-5.88,4.93
1734289359.655335,56.8,49.23,60.51,57.03,-5.88,4.93
1734289359.706951,56.95,49.43,60.95,57.76,-5.88,4.93
1734289359.7688856,57.14,50.08,62.05,58.36,-5.88,4.93
1734289359.833964,57.86,50.65,62.69,58.66,-5.88,4.93
1734289359.879414,58.37,50.89,62.99,58.87,-5.88,4.93
1734289359.929142,58.97,51.47,63.37,59.32,-5.88,4.93
1734289359.980914,59.14,51.6,63.95,60.23,-5.88,4.93
1734289360.052312,59.43,51.75,64.08,60.49,-5.88,4.93
1734289360.1005409,60.31,52.1,64.29,60.71,-5.88,4.93
1734289360.1489012,60.56,52.64,65.18,61.47,-5.88,4.93
1734289360.2016983,60.9,52.8,65.28,61.65,-5.88,4.93
1734289360.2380905,60.82,52.39,64.22,60.81,-5.88,4.93
1734289360.303991,60.54,52.46,64.33,60.79,-5.88,4.93
1734289360.357685,59.79,52.1,64.12,61.29,-5.88,4.93
1734289360.4127731,59.53,52.02,64.08,61.27,-5.88,4.93
1734289360.4827943,60.03,52.39,64.43,61.4,-5.88,4.93
1734289360.5206945,60.03,52.32,64.79,61.52,-5.88,4.93
1734289360.5787282,60.08,51.78,63.86,61.14,-5.88,4.93
1734289360.634893,59.68,51.43,63.38,61.12,-5.88,4.93
1734289360.6805074,59.32,51.75,63.79,61.65,-5.88,4.93
1734289360.7320616,58.93,51.3,63.52,61.94,-5.88,4.93
1734289360.7945037,59.27,51.36,63.09,61.19,-5.88,4.93
1734289360.8501985,59.69,51.85,63.71,61.27,-5.88,4.93
1734289360.906191,59.08,51.65,64.12,61.8,-5.88,4.93
1734289360.951146,59.24,51.37,63.38,61.2,-5.88,4.93
1734289361.0033164,59.59,51.66,63.5,61.22,-5.88,4.93
1734289361.0608566,59.16,51.97,64.21,61.87,-5.88,4.93
1734289361.102465,58.92,51.49,63.5,61.57,-5.88,4.93
1734289361.1557791,59.17,51.46,63.59,61.01,-5.88,4.93
1734289361.2223804,59.3,51.75,64.26,61.32,-5.88,4.93
1734289361.2758431,58.79,51.3,63.93,61.9,-5.88,4.93
1734289361.315232,58.97,51.33,63.23,61.29,-5.88,4.93
1734289361.3863828,59.43,51.79,63.38,61.47,-5.88,4.93
1734289361.43896,59.27,51.69,63.9,62.09,-5.88,4.93
1734289361.4789374,59.46,51.27,63.33,61.5,-5.88,4.93
1734289361.5304315,60.11,51.43,63.37,60.94,-5.88,4.93
1734289361.5790162,59.84,51.88,63.98,61.35,-5.88,4.93
1734289361.6388035,59.42,51.46,63.37,61.67,-5.88,4.93
1734289361.6854043,59.5,51.62,62.91,61.1,-5.88,4.93
1734289361.7455802,59.71,51.95,63.59,61.32,-5.88,4.93
1734289361.80133,59.17,51.7,64.1,61.94,-5.88,4.93
1734289361.86232,59.29,51.24,63.49,61.29,-5.88,4.93
1734289361.9125743,59.81,51.28,63.43,61.32,-5.88,4.93
1734289361.96991,59.53,51.57,64.02,62.12,-5.88,4.93
