Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734233914.5526254,69.29,131.4,124.19,80.26,7.09,27.67
1734233914.5852137,69.88,132.54,125.25,80.8,6.98,27.9
1734233914.6314924,70.4,133.4,125.56,81.02,7.15,27.46
1734233914.684923,70.51,134.53,125.96,81.16,7.42,27.46
1734233914.7337508,70.66,135.63,127.15,81.82,7.15,27.46
1734233914.7836444,70.81,136.77,129.22,82.3,7.15,27.46
1734233914.8481376,71.32,138.2,130.51,82.68,7.15,27.46
1734233914.9123378,71.68,138.88,130.97,83.29,7.15,27.46
1734233914.95973,71.89,140.18,132.25,83.55,7.15,27.46
1734233915.0104012,72.33,140.71,132.61,83.7,7.15,27.46
1734233915.059305,72.84,141.53,133.11,83.88,7.15,27.46
1734233915.1136918,72.98,143.92,134.64,84.19,7.15,27.46
1734233915.1710744,73.13,145.19,135.26,84.83,7.15,27.46
1734233915.2179136,73.38,145.67,136.51,85.09,7.15,27.46
1734233915.2659109,73.83,147.09,137.97,85.43,7.42,27.46
1734233915.3246298,74.02,147.58,138.92,86.25,7.15,27.46
1734233915.3826103,73.59,147.66,139.03,86.41,6.32,27.9
1734233915.4241726,73.61,147.66,139.26,86.39,7.8,27.46
1734233915.4904718,73.92,146.93,139.98,86.86,7.42,27.46
1734233915.549395,74.24,146.32,139.15,86.34,7.42,27.46
1734233915.6007786,74.22,146.44,137.33,86.41,6.71,27.9
1734233915.6398327,73.92,146.4,136.51,86.25,6.71,27.9
1734233915.6927693,74.0,147.01,137.11,85.94,6.58,27.9
1734233915.7636335,73.96,146.0,136.89,86.41,7.15,27.46
1734233915.8166358,73.79,146.0,137.63,86.59,6.58,27.9
1734233915.8628318,73.79,146.72,137.67,87.04,7.15,27.46
1734233915.9157865,73.89,144.79,137.3,87.77,6.58,27.9
1734233915.96458,74.24,144.16,137.11,87.27,7.8,27.46
1734233916.017498,74.43,144.24,136.22,87.54,7.15,27.46
1734233916.0698435,74.45,143.72,135.15,87.39,7.15,27.46
1734233916.1238382,74.69,145.59,135.15,86.84,6.32,27.9
1734233916.1914852,74.65,145.43,135.19,86.79,7.15,27.46
1734233916.236257,74.32,144.95,135.92,86.89,6.32,27.9
1734233916.2997806,74.39,145.96,136.03,86.59,6.32,27.9
1734233916.3368902,74.12,145.84,136.66,87.55,6.32,27.9
1734233916.392012,74.22,145.96,137.63,87.66,7.15,27.46
1734233916.4457705,74.63,145.39,137.63,87.61,6.32,27.9
1734233916.4999003,74.61,144.55,137.86,87.93,7.42,27.46
1734233916.552158,74.86,144.95,137.22,87.36,7.42,27.46
1734233916.6119576,75.12,146.08,136.81,87.27,7.42,27.46
1734233916.6681397,74.77,145.75,136.89,86.84,7.15,27.46
1734233916.731002,75.04,146.68,137.26,86.14,7.42,27.46
1734233916.7803404,74.71,146.48,138.8,86.77,7.15,27.46
1734233916.8304152,74.51,146.36,139.49,86.84,7.15,27.46
1734233916.8824906,74.63,146.32,139.68,87.27,6.32,27.9
1734233916.9350183,74.45,144.39,140.06,87.75,6.58,27.9
1734233916.983374,74.77,143.8,139.11,87.2,6.32,27.9
1734233917.0321174,74.94,143.96,138.16,87.52,6.58,27.9
1734233917.0869014,74.63,143.92,137.45,87.39,6.32,27.9
1734233917.1461284,74.92,145.92,137.22,86.52,7.15,27.46
1734233917.2132423,74.84,145.51,137.52,86.57,7.15,27.46
1734233917.2629323,74.41,144.99,138.2,86.66,7.42,27.46
1734233917.3193843,74.53,145.31,138.09,86.41,7.42,27.46
1734233917.3608837,74.32,144.95,138.84,87.34,7.42,27.46
1734233917.4129877,74.08,143.84,138.54,87.61,7.15,27.46
1734233917.46267,74.37,143.17,138.24,88.03,7.15,27.46
1734233917.509884,74.3,142.34,137.04,87.82,7.42,27.46
1734233917.559735,74.88,143.92,135.88,87.29,7.42,27.46
1734233917.6131485,74.79,144.75,136.29,87.39,7.15,27.46
1734233917.663567,74.39,145.07,136.51,87.02,7.15,27.46
1734233917.726524,74.67,145.39,136.63,86.57,7.15,27.46
1734233917.7756422,74.37,146.0,138.31,87.25,7.42,27.46
