Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734287201.9772053,64.26,56.41,63.35,65.06,10.31,29.68
1734287202.0041747,64.52,56.66,63.6,65.28,10.61,29.68
1734287202.0546994,64.36,56.7,63.71,65.39,10.61,29.68
1734287202.1055386,64.39,56.97,63.88,65.34,10.61,29.68
1734287202.1582112,64.5,56.95,64.0,65.27,10.61,29.68
1734287202.2124407,64.48,56.87,64.07,65.27,10.61,29.68
1734287202.287726,64.34,56.95,64.15,65.37,10.61,29.68
1734287202.3280764,64.67,57.0,64.05,65.23,10.31,29.68
1734287202.369077,64.69,56.9,64.12,65.32,10.31,29.68
1734287202.4253018,64.5,57.16,64.29,65.27,10.31,29.68
1734287202.4761386,64.34,57.19,64.34,65.16,10.31,29.68
1734287202.536732,64.33,57.09,64.45,65.08,10.31,29.68
1734287202.6102943,64.17,57.14,64.53,65.23,10.31,29.68
1734287202.652635,64.1,57.03,64.38,65.28,10.31,29.68
1734287202.70374,64.15,56.92,64.45,65.37,10.31,29.68
1734287202.7572246,64.21,56.83,64.29,65.18,10.31,29.68
1734287202.8131385,64.03,56.87,64.02,64.85,10.31,29.68
1734287202.8624756,64.03,56.86,64.07,64.88,10.31,29.68
1734287202.9168842,63.91,56.48,63.96,64.85,10.31,29.68
1734287202.9695776,63.93,56.58,63.74,65.02,10.31,29.68
1734287203.0236056,63.86,56.55,63.74,65.35,10.31,29.68
1734287203.083557,64.1,56.38,63.5,65.08,10.31,29.68
1734287203.12976,64.05,56.45,63.52,65.08,10.31,29.68
1734287203.187259,63.9,56.59,63.59,65.11,10.31,29.68
1734287203.2395809,63.98,56.41,63.37,65.04,10.31,29.68
1734287203.3005536,64.24,56.44,63.43,65.08,10.31,29.68
1734287203.3475904,64.14,56.41,63.59,65.53,10.31,29.68
1734287203.3928757,64.19,56.44,63.6,65.51,10.31,29.68
1734287203.445072,64.33,56.44,63.59,65.28,10.31,29.68
1734287203.4986317,64.31,56.45,63.59,65.28,10.31,29.68
1734287203.5586762,64.14,56.61,63.64,65.32,10.31,29.68
1734287203.601365,64.14,56.58,63.66,65.32,10.31,29.68
1734287203.6626928,64.15,56.44,63.79,65.35,10.31,29.68
1734287203.7240138,64.15,56.44,63.76,65.39,10.31,29.68
1734287203.7642186,64.17,56.45,63.76,65.37,10.31,29.68
1734287203.806206,64.24,56.45,63.76,65.14,10.31,29.68
1734287203.8651328,64.21,56.45,63.76,65.13,10.31,29.68
