imgnum,timestamp,Angle1(deg),Angle2(deg)
0,1734288936.859768,-6.76,5.81
1,1734288936.8989494,-5.81,5.33
2,1734288936.9478323,-5.81,5.33
3,1734288936.998404,-5.81,5.33
4,1734288937.0581572,-5.81,5.33
5,1734288937.111756,-5.81,5.33
6,1734288937.167384,-5.81,5.33
7,1734288937.2158995,-5.81,5.33
8,1734288937.2713444,-5.81,5.33
9,1734288937.3271027,-6.76,5.81
10,1734288937.378605,-6.76,5.81
11,1734288937.4261167,-6.76,5.81
12,1734288937.478672,-6.76,5.81
13,1734288937.5291986,-6.29,5.81
14,1734288937.5783224,-6.76,5.81
15,1734288937.6434731,-6.76,5.81
16,1734288937.694025,-5.81,5.33
17,1734288937.7412865,-6.76,5.81
18,1734288937.7952232,-6.76,5.81
19,1734288937.8503008,-5.81,5.33
20,1734288937.9016356,-6.76,5.81
21,1734288937.9539638,-5.8,5.33
22,1734288938.007301,-5.8,5.33
23,1734288938.0595732,-6.76,5.81
24,1734288938.1086423,-5.81,5.33
25,1734288938.161596,-5.81,5.33
26,1734288938.2252533,-5.8,5.33
27,1734288938.2810607,-6.76,5.81
28,1734288938.3332818,-5.81,5.33
29,1734288938.3852954,-5.81,5.33
30,1734288938.437636,-6.76,5.81
31,1734288938.4920523,-5.81,5.33
32,1734288938.5459836,-6.76,5.81
33,1734288938.6055007,-5.81,5.33
34,1734288938.658626,-6.76,5.81
35,1734288938.7122357,-5.81,5.33
36,1734288938.7638075,-6.76,5.81
37,1734288938.8129683,-6.76,5.81
38,1734288938.8742142,-5.81,5.33
39,1734288938.9271748,-6.76,5.81
40,1734288938.979318,-5.81,5.33
41,1734288939.034529,-6.76,5.81
42,1734288939.087808,-5.81,5.33
43,1734288939.139515,-5.8,5.33
44,1734288939.1913164,-6.76,5.81
45,1734288939.2462459,-6.76,5.81
46,1734288939.2977552,-5.8,5.33
47,1734288939.3472083,-6.76,5.81
48,1734288939.4028378,-5.81,5.33
49,1734288939.455344,-5.81,5.33
50,1734288939.5063524,-6.76,5.81
51,1734288939.5606794,-6.76,5.81
52,1734288939.612917,-6.76,5.81
53,1734288939.6656768,-5.81,5.33
54,1734288939.7208822,-5.81,5.33
55,1734288939.774659,-5.81,5.33
56,1734288939.8269145,-5.81,5.33
57,1734288939.8755581,-5.81,5.33
58,1734288939.9306955,-5.81,5.33
59,1734288939.9847493,-5.81,5.33
60,1734288940.0388236,-5.8,5.33
61,1734288940.0937843,-5.81,5.33
62,1734288940.1469042,-5.81,5.33
63,1734288940.2067564,-5.8,5.33
64,1734288940.2583826,-5.81,5.33
65,1734288940.3118255,-5.8,5.33
66,1734288940.363508,-5.8,5.33
67,1734288940.4148448,-5.8,5.33
68,1734288940.4654016,-5.8,5.33
69,1734288940.5253966,-5.81,5.33
70,1734288940.6600983,-5.8,5.33
71,1734288940.7749755,-5.81,5.33
72,1734288940.9024155,-5.33,5.81
73,1734288941.0319698,-5.34,6.29
74,1734288941.1551628,-4.86,6.77
75,1734288941.2745998,-5.33,7.24
76,1734288941.4057941,-4.47,7.31
77,1734288941.519438,-3.91,7.72
78,1734288941.6449869,-3.91,8.2
79,1734288941.772725,-3.99,8.75
80,1734288941.8916202,-3.98,9.22
81,1734288942.024227,-3.51,9.22
82,1734288942.141515,-3.52,9.7
83,1734288942.2642117,-3.05,9.7
84,1734288942.389351,-3.05,9.7
85,1734288942.524061,-3.05,9.7
86,1734288942.64322,-3.05,9.7
87,1734288942.761384,-3.47,10.18
88,1734288942.8942215,-3.95,10.18
89,1734288943.0287197,-3.53,10.18
90,1734288943.1483939,-3.53,10.18
91,1734288943.2680826,-3.53,10.18
92,1734288943.3903656,-3.13,10.26
93,1734288943.5246897,-3.0,10.18
94,1734288943.643698,-2.52,10.18
95,1734288943.7686467,-3.47,10.65
96,1734288943.8934743,-2.99,10.65
97,1734288944.022755,-2.99,10.65
98,1734288944.1420636,-2.99,10.65
99,1734288944.2590091,-2.99,10.65
100,1734288944.397061,-2.68,10.74
101,1734288944.5224192,-2.68,10.74
102,1734288944.6398196,-2.99,11.12
103,1734288944.757813,-3.15,11.21
104,1734288944.8914847,-2.68,11.21
105,1734288945.020475,-2.68,11.21
106,1734288945.141012,-2.68,11.21
107,1734288945.2572107,-2.62,11.69
108,1734288945.3888311,-1.13,12.16
109,1734288945.511176,-2.18,13.21
110,1734288945.6417944,-1.71,13.21
111,1734288945.7611947,-1.25,13.68
112,1734288945.89489,-1.16,14.15
113,1734288946.0075314,-1.05,14.62
