Time(s),R1(O),R2(O),R3(O),R4(O)
1734289050.5861025,Percentage:,3,Pot:,2
1734289050.625001,62.37,56.17,69.55,63.99
1734289050.6805649,62.72,56.62,69.68,64.45
1734289050.7318726,62.57,56.64,69.85,64.54
1734289050.7789834,62.60,56.90,70.12,64.47
1734289050.8523881,62.70,56.86,70.31,64.38
1734289050.8832467,62.69,56.76,70.27,64.45
1734289050.937317,62.57,56.84,70.42,64.54
1734289051.0092652,62.87,56.89,70.35,64.38
1734289051.0605185,62.89,56.81,70.57,64.45
1734289051.1112645,62.72,57.05,70.89,64.38
1734289051.1587749,62.59,57.06,71.08,64.28
1734289051.229955,62.57,56.95,71.26,64.19
1734289051.2729356,62.43,57.00,71.45,64.33
1734289051.315597,62.38,56.89,71.34,64.36
1734289051.3872051,62.43,56.78,71.51,64.43
1734289051.440033,62.49,56.69,71.41,64.24
1734289051.477114,62.33,56.73,71.13,63.97
1734289051.5327115,62.33,56.73,71.26,64.00
1734289051.5912151,62.22,56.34,70.98,63.99
1734289051.654608,62.23,56.45,70.78,64.16
1734289051.6910155,62.18,56.42,70.96,64.40
1734289051.7559693,62.40,56.27,70.65,64.12
1734289051.8058262,62.35,56.34,70.53,64.12
1734289051.8732398,62.20,56.47,70.50,64.16
1734289051.921105,62.27,56.28,70.01,64.09
1734289051.9713535,62.50,56.31,69.94,64.11
1734289052.0335493,62.42,56.28,70.05,64.54
1734289052.0864413,62.45,56.30,69.94,64.52
1734289052.1346378,62.57,56.30,69.77,64.30
1734289052.1742992,62.55,56.30,69.62,64.30
1734289052.246802,62.38,56.44,69.49,64.31
1734289052.2857134,62.37,56.39,69.29,64.31
1734289052.3398273,62.38,56.24,69.37,64.35
1734289052.3982446,62.38,56.24,69.29,64.38
1734289052.441298,62.42,56.24,69.09,64.36
1734289052.5016782,62.49,56.25,68.96,64.14
1734289052.5468235,62.45,56.25,68.87,64.14
1734289052.6038632,62.27,56.38,69.00,64.16
1734289052.6706932,62.25,56.36,69.05,64.17
1734289052.718024,62.25,56.20,69.37,64.21
1734289052.756834,62.27,56.20,69.49,64.26
1734289052.8163025,62.28,56.22,69.37,64.24
1734289052.862791,62.33,56.24,69.51,64.02
1734289052.9376123,62.30,56.24,69.51,64.00
1734289052.9744847,62.40,56.44,69.33,63.80
1734289053.0289662,62.35,56.59,69.79,63.90
1734289053.09231,62.13,56.24,69.88,63.92
1734289053.142261,62.25,56.28,69.61,63.71
1734289053.2009525,62.22,56.45,69.73,63.88
1734289053.2577689,62.03,56.28,69.70,63.66
1734289053.3040495,62.07,56.27,69.64,63.64
1734289053.3577776,61.85,56.39,69.64,63.64
1734289053.4071405,61.86,56.41,69.72,63.68
1734289053.4610982,61.88,56.25,69.86,63.69
1734289053.517674,61.90,56.24,69.68,63.73
1734289053.566394,61.91,56.25,69.22,63.85
1734289053.6146793,61.95,56.25,69.09,63.81
1734289053.677332,62.08,56.07,68.60,63.73
1734289053.7374089,62.12,56.31,68.71,63.80
1734289053.771524,61.83,56.27,69.11,64.04
1734289053.8236341,61.90,56.13,69.07,63.99
1734289053.900912,62.15,56.30,69.35,64.02
1734289053.949819,62.08,56.25,69.42,64.40
1734289053.9875093,62.15,56.27,69.57,64.38
1734289054.04321,62.27,56.25,69.57,64.35
1734289054.1085641,62.27,56.28,69.75,64.38
1734289054.1433482,62.32,56.30,69.99,64.43
1734289054.1928911,62.37,56.24,70.25,64.49
1734289054.2565038,62.43,56.21,70.29,64.57
1734289054.3816795,62.47,56.38,70.53,64.83
1734289054.4996521,62.33,56.17,70.48,64.80
1734289054.6285527,62.50,56.16,70.40,64.61
1734289054.7553222,62.35,56.16,70.42,64.66
1734289054.8636293,62.49,56.28,70.63,64.76
1734289054.9954033,62.60,56.24,70.72,64.87
1734289055.1250296,62.72,56.03,70.51,64.95
1734289055.2503226,62.84,56.03,70.25,65.16
1734289055.3649163,62.96,56.03,70.20,65.21
1734289055.4828863,63.23,55.87,69.73,65.01
1734289055.6182106,63.54,56.10,69.81,65.13
1734289055.7431822,63.50,56.24,69.86,65.21
1734289055.870096,63.62,56.22,69.75,65.30
1734289055.9931104,63.71,56.07,69.73,65.35
1734289056.1120455,63.90,56.31,69.49,65.27
1734289056.2400055,63.95,56.52,69.64,65.25
1734289056.3695226,64.03,56.73,69.88,65.30
1734289056.484,64.08,56.95,70.10,65.35
1734289056.6160233,64.48,57.42,70.53,65.48
1734289056.736484,64.52,57.50,70.63,65.48
1734289056.8691447,64.58,57.60,70.38,65.20
1734289056.9917216,64.57,57.79,70.53,65.16
1734289057.1195793,64.34,57.80,70.57,65.39
1734289057.2305217,64.34,58.17,70.79,65.41
1734289057.3653147,64.41,58.60,70.89,65.46
1734289057.4823382,64.36,58.63,70.85,65.42
1734289057.618555,64.34,58.71,70.42,65.11
1734289057.7421055,64.31,58.92,70.24,65.09
1734289057.8588772,64.07,59.06,70.16,65.28
1734289057.9836514,63.93,59.22,70.33,65.21
1734289058.1148562,64.19,59.24,70.09,65.21
1734289058.2411804,64.14,59.22,70.01,65.51
1734289058.3631325,64.03,59.22,69.68,65.25
1734289058.4915667,63.90,58.95,69.29,65.35
1734289058.617289,63.81,58.72,69.33,65.55
1734289058.7374036,63.95,59.11,69.44,65.62
1734289058.8675349,64.17,59.37,69.33,65.65
1734289058.9848418,64.19,59.37,69.40,65.21
1734289059.1159985,64.15,59.19,68.94,64.92
1734289059.2314987,63.88,58.93,68.98,65.34
1734289059.3677077,63.57,59.01,69.37,65.46
1734289059.4909782,63.96,59.21,69.53,65.49
1734289059.6138098,64.36,59.16,69.59,65.46
1734289059.7317924,64.34,59.21,69.35,65.16
1734289059.8604143,64.27,59.00,68.78,64.99
1734289059.990651,63.95,58.76,69.00,65.02
1734289060.1103842,63.84,58.92,69.20,64.83
1734289060.2350442,63.96,59.09,69.27,65.06
1734289060.3607998,63.79,59.05,69.37,65.08
1734289060.4861705,63.67,59.14,69.16,64.81
1734289060.6124125,63.83,59.09,68.76,64.73
1734289060.7368145,63.57,59.05,68.43,64.64
1734289060.861799,63.42,59.01,68.20,64.55
1734289060.9845994,63.31,58.97,68.18,64.57
1734289061.1038687,63.20,58.93,68.42,64.57
1734289061.229128,63.28,58.97,68.02,64.68
1734289061.3619263,63.16,58.79,67.76,64.64
1734289061.4796953,62.86,58.64,67.62,64.55
1734289061.5977032,62.79,58.61,67.33,64.49
1734289061.7315445,62.74,58.76,67.28,64.69
1734289061.8623428,62.67,59.05,67.15,64.50
1734289061.9810042,62.86,59.06,67.05,64.26
1734289062.1122818,62.49,58.90,66.99,64.21
1734289062.2385292,62.40,59.06,67.03,64.26
1734289062.350793,62.42,58.90,66.71,64.24
1734289062.4883614,62.22,58.53,66.78,64.45
1734289062.6119373,62.18,58.71,67.03,64.54
1734289062.7386417,62.49,59.05,66.97,64.62
1734289062.8537111,62.64,59.29,67.05,64.45
1734289062.9841614,62.72,59.30,66.81,64.02
1734289063.1116393,62.84,59.21,66.76,64.05
1734289063.231428,62.62,59.13,66.99,64.55
1734289063.346459,62.72,59.37,67.19,64.68
1734289063.4816396,63.25,59.35,67.24,64.76
1734289063.611146,63.42,59.42,67.21,64.55
1734289063.734169,63.54,59.32,66.73,64.43
1734289063.8481293,63.40,59.14,66.60,64.66
1734289063.9839163,63.57,59.25,66.87,64.83
1734289064.0996895,63.88,59.34,66.71,64.85
1734289064.2348473,64.14,59.42,66.74,65.11
1734289064.349298,64.22,59.43,66.49,64.87
1734289064.4824712,64.43,59.08,66.14,64.76
1734289064.6064754,64.38,58.95,66.23,64.99
1734289064.719849,64.29,59.14,66.30,65.08
1734289064.856579,64.53,59.38,66.37,65.13
1734289064.9828665,64.39,59.34,66.55,64.97
1734289065.1037457,64.34,59.51,66.49,64.78
1734289065.2190108,64.46,59.43,66.37,64.99
1734289065.3554356,64.31,59.37,66.32,64.97
1734289065.4748137,64.41,59.19,66.23,64.94
1734289065.5957925,64.43,59.22,66.19,65.18
1734289065.7283936,64.41,59.40,66.30,65.18
1734289065.844748,64.62,59.48,66.18,64.95
1734289065.971373,64.62,59.34,66.32,64.80
1734289066.0970123,64.29,59.25,66.49,64.90
1734289066.2158065,64.29,59.46,66.57,65.13
1734289066.3484707,64.58,59.53,66.62,65.16
1734289066.4783208,64.58,59.38,66.35,64.85
1734289066.6047304,64.57,59.17,66.02,64.69
1734289066.7277691,64.27,59.08,65.98,64.88
1734289066.855287,64.08,59.21,66.25,64.94
1734289066.9780593,64.27,59.22,66.30,64.75
1734289067.1043792,63.93,59.05,66.48,64.97
1734289067.2241585,63.59,59.14,66.71,65.16
1734289067.3495536,63.78,59.29,66.80,65.16
1734289067.471674,63.91,59.16,66.78,64.87
1734289067.6038516,63.83,59.11,66.49,64.52
1734289067.7270103,63.52,59.00,66.19,64.59
1734289067.8456962,63.16,58.87,66.44,64.75
1734289067.969707,63.26,59.05,66.73,64.50
1734289068.0966787,63.23,58.88,66.73,64.50
1734289068.2171643,62.76,58.80,66.97,64.76
1734289068.349087,62.67,58.95,67.08,64.75
1734289068.477069,63.01,58.90,67.14,64.73
1734289068.5997207,62.98,58.93,66.89,64.40
1734289068.7198062,62.92,58.76,66.44,64.19
1734289068.8457282,62.64,58.50,66.41,64.33
1734289068.9767866,62.59,58.66,66.67,64.07
1734289069.099587,62.82,58.69,66.51,64.11
1734289069.2189512,62.62,58.58,66.51,64.30
1734289069.340767,62.60,58.50,66.48,64.30
1734289069.4724205,62.82,58.42,66.46,64.33
1734289069.5870066,62.87,58.47,66.69,64.40
1734289069.7262552,62.92,58.85,66.62,64.24
1734289069.844739,63.04,58.85,66.46,64.23
1734289069.9721994,62.96,58.82,66.65,64.14
1734289070.098289,63.01,59.01,66.65,64.16
1734289070.2148554,63.26,58.95,66.65,64.24
1734289070.341971,63.21,58.88,66.60,64.26
1734289070.468145,63.28,58.79,66.60,64.30
1734289070.585112,63.38,58.97,66.60,64.61
1734289070.7166862,63.47,59.17,66.80,64.68
1734289070.848032,63.78,59.25,66.73,64.59
1734289070.9705408,63.86,59.14,66.90,64.62
1734289071.0907679,63.74,59.17,67.14,64.78
1734289071.2175279,63.67,59.19,67.22,64.81
1734289071.3455465,63.74,59.17,67.19,65.08
1734289071.470467,63.96,59.27,67.31,64.92
1734289071.5848396,64.24,59.35,67.08,64.87
1734289071.7202566,64.14,59.37,66.92,64.83
1734289071.8447301,64.05,59.32,66.92,64.75
1734289071.970565,64.05,59.11,66.80,64.92
1734289072.085407,63.76,59.00,66.89,65.39
1734289072.2176716,63.59,59.19,67.24,65.48
1734289072.3469424,64.07,59.25,67.40,65.51
1734289072.4640787,64.31,59.19,67.46,65.25
1734289072.5840876,64.31,59.21,67.21,64.94
1734289072.7203896,64.08,59.13,67.05,65.08
1734289072.8446512,63.81,59.05,67.39,65.16
1734289072.9688983,64.02,59.17,67.53,65.13
1734289073.0962975,64.22,59.25,67.44,65.39
1734289073.2117841,64.10,59.24,67.40,65.13
1734289073.3402648,64.08,58.98,67.06,64.99
1734289073.4701662,64.02,58.66,67.19,65.18
1734289073.5964947,63.84,58.82,67.44,65.27
1734289073.7194474,64.02,59.19,67.40,65.30
1734289073.8468719,64.05,59.24,67.49,64.90
1734289073.9662356,63.96,59.21,67.28,64.57
1734289074.0825171,63.84,58.95,66.85,64.69
1734289074.2190723,63.37,58.79,66.89,64.90
1734289074.3343139,63.23,58.88,66.94,64.90
1734289074.4630826,63.55,58.87,66.73,64.88
1734289074.583569,63.54,58.93,66.48,64.61
