imgnum,timestamp,Angle1(deg),Angle2(deg)
0,1734287308.8818843,33.51,30.36
1,1734287308.9206553,33.51,30.36
2,1734287308.9709382,33.51,30.36
3,1734287309.0220485,33.51,30.36
4,1734287309.078002,33.51,30.36
5,1734287309.1248198,33.51,30.36
6,1734287309.1844828,33.51,30.36
7,1734287309.2387655,33.51,30.36
8,1734287309.2918983,33.51,30.36
9,1734287309.346906,33.51,30.36
10,1734287309.4007723,33.51,30.36
11,1734287309.4550154,33.07,30.36
12,1734287309.505885,33.07,30.36
13,1734287309.5553715,33.51,30.36
14,1734287309.6094024,33.07,30.36
15,1734287309.6593099,33.51,30.36
16,1734287309.7194521,33.51,30.36
17,1734287309.7735019,33.51,30.36
18,1734287309.8233645,33.07,30.36
19,1734287309.8774562,33.07,30.36
20,1734287309.9329987,33.07,30.36
21,1734287309.9866464,33.07,30.36
22,1734287310.038651,33.07,30.36
23,1734287310.0877247,33.07,30.36
24,1734287310.140384,33.07,30.36
25,1734287310.19741,33.07,30.36
26,1734287310.2564125,33.07,30.36
27,1734287310.3080235,33.07,30.36
28,1734287310.3636415,33.07,30.36
29,1734287310.4180071,33.07,30.36
30,1734287310.467382,33.07,30.36
31,1734287310.5228024,33.07,30.36
32,1734287310.5716279,32.86,30.36
33,1734287310.6241431,32.86,30.36
34,1734287310.6843953,33.07,30.36
35,1734287310.7376485,33.07,30.36
36,1734287310.7858062,33.07,30.36
37,1734287310.837597,33.07,30.36
38,1734287310.890721,32.86,30.36
39,1734287310.941805,32.86,30.36
40,1734287310.9959116,33.07,30.36
41,1734287311.0493736,33.07,30.36
42,1734287311.101863,33.07,30.36
43,1734287311.1534407,33.07,30.36
44,1734287311.2066948,33.07,30.36
45,1734287311.2604604,33.07,30.36
46,1734287311.3166902,33.07,30.36
47,1734287311.3719401,33.07,30.36
48,1734287311.4249563,33.07,30.36
49,1734287311.4793303,33.07,30.36
50,1734287311.5334187,32.86,30.36
51,1734287311.5861511,33.07,30.36
52,1734287311.637734,33.07,30.36
53,1734287311.6898963,33.07,30.36
54,1734287311.7438197,33.07,30.36
55,1734287311.7933323,33.07,30.36
56,1734287311.8440213,33.07,30.36
57,1734287311.897372,33.07,30.36
58,1734287311.9526489,33.07,30.36
59,1734287312.0055206,33.07,30.36
60,1734287312.0605156,33.07,30.36
61,1734287312.1116915,32.67,29.68
