Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734295710.8278456,99.86,93.97,99.16,101.50,38.38234259207582,27.45674228459988
1734295710.8737211,99.89,94.00,99.14,101.53,38.38234259207582,27.45674228459988
1734295710.9311566,99.94,94.02,99.14,101.56,38.38234259207582,27.45674228459988
1734295710.9847734,99.97,94.02,99.16,101.58,38.18080470008794,27.45674228459988
1734295711.031619,99.97,94.02,99.19,101.61,38.18080470008794,27.45674228459988
1734295711.0929134,99.99,94.07,99.21,101.61,38.18080470008794,27.45674228459988
1734295711.135869,100.02,94.12,99.27,101.64,37.73384933994058,27.45674228459988
1734295711.1842616,100.05,94.14,99.29,101.66,38.18080470008794,27.45674228459988
1734295711.244846,100.07,94.17,99.29,101.69,38.18080470008794,27.45674228459988
1734295711.313685,100.1,94.22,99.32,101.72,37.73384933994058,27.45674228459988
1734295711.3577683,100.13,94.27,99.34,101.74,37.73384933994058,27.45674228459988
1734295711.4068496,100.13,94.32,99.37,101.77,37.73384933994058,27.45674228459988
1734295711.448146,100.15,94.36,99.4,101.77,37.73384933994058,27.45674228459988
1734295711.4970517,100.18,94.39,99.42,101.80,37.938133797448494,27.45674228459988
1734295711.5474844,100.2,94.44,99.45,101.82,37.73384933994058,27.45674228459988
1734295711.6096191,100.23,94.44,99.47,101.85,37.73384933994058,27.45674228459988
1734295711.6666548,100.23,94.46,99.5,101.82,37.73384933994058,27.45674228459988
1734295711.7179508,100.23,94.46,99.5,101.82,37.73384933994058,27.45674228459988
1734295711.7701385,100.2,94.49,99.5,101.82,37.73384933994058,27.45674228459988
1734295711.8224535,100.23,94.51,99.5,101.82,37.73384933994058,27.45674228459988
1734295711.8982098,100.23,94.51,99.5,101.85,37.73384933994058,27.45674228459988
1734295711.9273424,100.23,94.51,99.47,101.85,37.73384933994058,27.45674228459988
1734295711.9824088,100.2,94.46,99.47,101.85,37.73384933994058,27.45674228459988
1734295712.0415304,100.2,94.44,99.5,101.82,37.73384933994058,27.45674228459988
1734295712.0921898,100.2,94.41,99.5,101.82,37.73384933994058,27.45674228459988
1734295712.1418304,100.2,94.41,99.5,101.82,37.73384933994058,27.45674228459988
1734295712.186294,100.23,94.39,99.5,101.82,37.73384933994058,27.45674228459988
1734295712.2429826,100.23,94.39,99.5,101.82,37.73384933994058,27.45674228459988
1734295712.2823265,100.23,94.41,99.5,101.82,37.73384933994058,27.45674228459988
1734295712.3310149,100.2,94.41,99.5,101.82,37.73384933994058,27.45674228459988
1734295712.3956146,100.2,94.44,99.47,101.82,37.73384933994058,27.45674228459988
1734295712.4445057,100.2,94.44,99.47,101.85,37.73384933994058,27.45674228459988
1734295712.494516,100.2,94.41,99.47,101.85,37.73384933994058,27.45674228459988
1734295712.548095,100.23,94.39,99.47,101.85,37.73384933994058,27.45674228459988
1734295712.608614,100.23,94.39,99.47,101.82,37.29009432082625,27.45674228459988
1734295712.6678708,100.23,94.39,99.47,101.82,37.29009432082625,27.45674228459988
1734295712.7128332,100.23,94.36,99.47,101.82,37.29009432082625,27.45674228459988
1734295712.7732763,100.26,94.39,99.47,101.82,37.29009432082625,27.45674228459988
1734295712.8246586,100.23,94.41,99.47,101.85,37.29009432082625,27.45674228459988
1734295712.884574,100.2,94.44,99.47,101.85,37.29009432082625,27.45674228459988
1734295712.9317667,100.18,94.41,99.47,101.85,37.50320766164416,27.012665347938537
1734295712.9814105,100.15,94.44,99.45,101.85,37.29009432082625,27.45674228459988
1734295713.0303068,100.13,94.44,99.45,101.88,37.0799126535285,27.45674228459988
1734295713.0794797,100.13,94.41,99.45,101.88,37.0799126535285,27.45674228459988
1734295713.1409967,100.15,94.36,99.45,101.88,37.73417125748759,27.012665347938537
1734295713.197467,100.15,94.34,99.47,101.85,37.29363499266184,27.012665347938537
1734295713.2595978,100.13,94.32,99.47,101.85,37.73417125748759,27.012665347938537
1734295713.3135874,100.13,94.32,99.47,101.85,37.73417125748759,27.012665347938537
1734295713.361129,100.13,94.32,99.47,101.85,37.73417125748759,27.012665347938537
1734295713.40853,100.1,94.32,99.47,101.88,37.73417125748759,27.012665347938537
1734295713.4501607,100.07,94.29,99.47,101.88,37.73417125748759,27.012665347938537
1734295713.500132,100.05,94.29,99.47,101.88,37.73417125748759,27.012665347938537
1734295713.5558813,100.05,94.32,99.45,101.88,37.73417125748759,27.012665347938537
1734295713.609836,100.05,94.32,99.45,101.88,37.73417125748759,27.012665347938537
1734295713.675845,100.05,94.29,99.45,101.88,37.73417125748759,27.012665347938537
1734295713.7273116,100.05,94.29,99.45,101.88,37.959709875654674,26.78712672977145
1734295713.7780912,100.05,94.27,99.47,101.85,37.959709875654674,26.78712672977145
1734295713.8490326,100.05,94.24,99.47,101.85,37.51917361082892,26.78712672977145
1734295713.885622,100.02,94.24,99.47,101.85,37.51917361082892,26.78712672977145
1734295713.936249,100.02,94.27,99.45,101.85,37.51917361082892,26.78712672977145
1734295713.9992373,99.99,94.27,99.45,101.88,37.30636527071416,26.78712672977145
1734295714.0503027,99.99,94.27,99.42,101.88,37.51917361082892,26.78712672977145
1734295714.1114986,99.97,94.27,99.42,101.88,37.51917361082892,26.78712672977145
1734295714.1559763,99.94,94.27,99.42,101.88,37.30636527071416,26.78712672977145
1734295714.2607496,99.94,94.24,99.42,101.88,37.51917361082892,26.78712672977145
1734295714.3869116,99.94,94.24,99.42,101.85,37.51917361082892,26.78712672977145
1734295714.524264,99.94,94.22,99.4,101.85,37.51917361082892,26.78712672977145
1734295714.657714,99.92,94.19,99.42,101.85,37.30636527071416,26.78712672977145
1734295714.779883,99.92,94.17,99.42,101.85,37.30636527071416,26.78712672977145
1734295714.915216,99.92,94.17,99.42,101.85,37.30636527071416,26.78712672977145
1734295715.03816,99.92,94.17,99.42,101.82,37.30636527071416,26.78712672977145
1734295715.1719038,99.92,94.17,99.42,101.85,36.86650721257354,26.78712672977145
1734295715.2922373,99.92,94.17,99.42,101.85,36.86650721257354,26.78712672977145
1734295715.4291065,99.92,94.17,99.42,101.85,36.87498367194439,26.342111525880465
1734295715.562391,99.89,94.17,99.45,101.85,37.31152241646453,26.342111525880465
1734295715.688788,99.89,94.19,99.42,101.85,36.87498367194439,26.342111525880465
1734295715.8205912,99.86,94.19,99.45,101.85,36.87498367194439,26.342111525880465
1734295715.941926,99.86,94.19,99.45,101.85,36.87498367194439,26.342111525880465
1734295716.0788636,99.86,94.19,99.45,101.85,37.09283729704155,26.342111525880465
1734295716.2097485,99.86,94.19,99.45,101.82,36.87498367194439,26.342111525880465
1734295716.3388894,99.86,94.19,99.45,101.85,36.87498367194439,26.342111525880465
1734295716.4702044,99.86,94.22,99.47,101.85,36.87498367194439,26.342111525880465
1734295716.5877645,99.86,94.19,99.45,101.85,36.44177691681206,26.342111525880465
1734295716.7308164,99.86,94.19,99.45,101.85,36.21816052592023,26.342111525880465
1734295716.8591294,99.86,94.19,99.45,101.85,35.785935947716204,26.342111525880465
1734295716.9872923,99.86,94.19,99.45,101.88,35.785935947716204,26.342111525880465
1734295717.1226404,99.86,94.19,99.42,101.88,36.21062118867712,26.12262151903851
1734295717.2432728,99.86,94.19,99.42,101.88,36.21062118867712,26.12262151903851
1734295717.3754704,99.86,94.19,99.42,101.88,36.00542595455816,26.12262151903851
1734295717.5034568,99.86,94.17,99.42,101.88,35.77602717499972,26.12262151903851
1734295717.6387625,99.86,94.14,99.45,101.85,36.00542595455816,26.12262151903851
1734295717.7583692,99.89,94.14,99.45,101.85,36.45123179175846,25.676815681838207
1734295717.8892062,99.89,94.14,99.45,101.85,35.77602717499972,26.12262151903851
1734295718.027197,99.89,94.14,99.42,101.82,36.45123179175846,25.676815681838207
1734295718.156774,99.89,94.14,99.42,101.85,36.45123179175846,25.676815681838207
1734295718.284965,99.89,94.14,99.42,101.85,35.7907311111645,25.676815681838207
1734295718.4184527,99.89,94.14,99.42,101.85,35.12569827209732,25.676815681838207
1734295718.539215,99.89,94.17,99.42,101.82,34.69943556698798,25.676815681838207
1734295718.6835222,99.89,94.17,99.42,101.82,35.38819340662013,25.227649467428577
1734295718.8083534,99.89,94.17,99.42,101.82,35.38819340662013,25.227649467428577
1734295718.9417589,99.89,94.14,99.42,101.82,35.38819340662013,25.227649467428577
1734295719.0730517,99.89,94.14,99.45,101.80,35.38819340662013,25.227649467428577
1734295719.2032132,99.89,94.14,99.45,101.80,35.38819340662013,25.227649467428577
1734295719.325415,99.86,94.14,99.45,101.80,35.38819340662013,25.227649467428577
1734295719.4593203,99.86,94.17,99.42,101.80,35.38819340662013,25.227649467428577
1734295719.591079,99.86,94.17,99.42,101.82,35.38819340662013,25.227649467428577
1734295719.7233484,99.86,94.17,99.42,101.82,35.38819340662013,25.227649467428577
1734295719.853372,99.84,94.14,99.42,101.82,36.02304982794965,25.016893478100016
1734295719.98217,99.84,94.14,99.45,101.82,35.38819340662013,25.227649467428577
1734295720.106717,99.84,94.14,99.45,101.82,34.30680561311154,25.227649467428577
1734295720.240111,99.84,94.14,99.45,101.82,34.270278806741125,25.016893478100016
1734295720.3723004,99.84,94.12,99.45,101.82,34.270278806741125,25.016893478100016
1734295720.50169,99.84,94.12,99.47,101.82,33.59991546554095,25.016893478100016
1734295720.6252446,99.84,94.12,99.47,101.82,34.30251511790373,24.567171320601304
1734295720.7593536,99.81,94.12,99.47,101.82,33.59991546554095,25.016893478100016
1734295720.8954723,99.81,94.14,99.45,101.82,34.30251511790373,24.567171320601304
1734295721.0176036,99.81,94.14,99.45,101.85,34.50723342319285,24.362453015312184
1734295721.153507,99.81,94.14,99.45,101.85,34.50723342319285,24.362453015312184
1734295721.2747247,99.81,94.12,99.45,101.85,34.50723342319285,24.362453015312184
1734295721.4046483,99.79,94.12,99.47,101.82,33.63391585510428,24.567171320601304
1734295721.5423713,99.76,94.12,99.47,101.82,33.63391585510428,24.567171320601304
1734295721.6624453,99.76,94.12,99.47,101.82,33.63391585510428,24.567171320601304
1734295721.804425,99.79,94.12,99.45,101.82,33.63391585510428,24.567171320601304
1734295721.9340703,99.79,94.12,99.45,101.85,33.8386341603934,24.362453015312184
1734295722.0668902,99.79,94.12,99.45,101.85,33.87675472457536,23.91231755175089
1734295722.19353,99.76,94.12,99.45,101.85,33.87675472457536,23.91231755175089
1734295722.324853,99.76,94.14,99.42,101.85,33.87675472457536,23.91231755175089
1734295722.4433875,99.76,94.14,99.42,101.88,33.87675472457536,23.91231755175089
1734295722.586685,99.76,94.14,99.42,101.88,33.61649015740062,23.91231755175089
1734295722.7138758,99.79,94.12,99.42,101.88,33.2064427829743,23.91231755175089
1734295722.8418417,99.79,94.12,99.45,101.85,33.2064427829743,23.91231755175089
1734295722.9730327,99.79,94.12,99.45,101.85,33.2064427829743,23.91231755175089
1734295723.107227,99.79,94.12,99.45,101.85,33.2064427829743,23.91231755175089
1734295723.2341828,99.81,94.12,99.42,101.85,33.2064427829743,23.91231755175089
1734295723.357915,99.84,94.12,99.42,101.88,33.2064427829743,23.91231755175089
1734295723.4891746,99.86,94.12,99.42,101.88,33.2064427829743,23.91231755175089
1734295723.6270657,99.84,94.12,99.42,101.88,33.2064427829743,23.91231755175089
1734295723.754405,99.84,94.14,99.42,101.85,32.581916098862166,23.459024081461564
1734295723.885504,99.81,94.14,99.42,101.85,32.77775467768075,23.263185502642983
1734295724.0039327,99.79,94.14,99.42,101.85,33.18187827627802,23.263185502642983
1734295724.1384635,99.79,94.12,99.42,101.85,32.77775467768075,23.263185502642983
1734295724.2743278,99.76,94.12,99.45,101.82,32.50495905846485,23.263185502642983
1734295724.4052737,99.76,94.12,99.45,101.82,32.10313710080751,23.263185502642983
1734295724.5357502,99.73,94.12,99.45,101.82,32.50495905846485,23.263185502642983
1734295724.6572902,99.73,94.14,99.42,101.82,32.10313710080751,23.263185502642983
1734295724.7976,99.71,94.14,99.42,101.85,32.10313710080751,23.263185502642983
1734295724.9252288,99.68,94.14,99.42,101.85,32.10313710080751,23.263185502642983
1734295725.0538154,99.66,94.14,99.42,101.85,32.10313710080751,23.263185502642983
1734295725.187857,99.63,94.17,99.42,101.82,32.10313710080751,23.263185502642983
1734295725.307937,99.6,94.17,99.42,101.82,31.425601057723817,23.263185502642983
1734295725.4456432,99.58,94.17,99.4,101.82,32.15864506659637,22.80971110387746
1734295725.5684595,99.58,94.14,99.37,101.82,31.483597495519653,22.80971110387746
1734295725.7026412,99.55,94.14,99.37,101.82,30.80593708028665,22.80971110387746
1734295725.8372428,99.55,94.14,99.37,101.80,32.12696277731465,22.166345822082462
1734295725.9657276,99.55,94.14,99.37,101.80,31.449302362081653,22.166345822082462
1734295726.0905745,99.55,94.17,99.34,101.77,31.06037664202571,22.166345822082462
1734295726.2247002,99.58,94.17,99.34,101.77,31.449302362081653,22.166345822082462
1734295726.3594468,99.55,94.17,99.34,101.74,31.06037664202571,22.166345822082462
1734295726.4843383,99.55,94.17,99.34,101.74,31.06037664202571,22.166345822082462
1734295726.60384,99.53,94.17,99.37,101.72,31.06037664202571,22.166345822082462
1734295726.7382665,99.53,94.17,99.37,101.72,31.06037664202571,22.166345822082462
1734295726.872778,99.53,94.17,99.37,101.72,31.06037664202571,22.166345822082462
1734295727.0106518,99.53,94.14,99.37,101.72,31.06037664202571,22.166345822082462
1734295727.1336164,99.53,94.14,99.4,101.72,31.06037664202571,22.166345822082462
1734295727.2592983,99.53,94.14,99.4,101.72,30.76920454800636,22.166345822082462
1734295727.3882546,99.53,94.14,99.42,101.69,30.76920454800636,22.166345822082462
1734295727.5304115,99.53,94.17,99.42,101.66,30.38307594618081,22.166345822082462
1734295727.6579783,99.53,94.17,99.45,101.69,30.160109548343023,21.709882759871235
1734295727.7759693,99.53,94.14,99.45,101.72,29.478733203370368,21.709882759871235
1734295727.908729,99.53,94.12,99.45,101.69,29.478733203370368,21.709882759871235
1734295728.0509946,99.53,94.12,99.47,101.69,30.41804501452512,21.07272661995056
1734295728.175961,99.5,94.12,99.47,101.72,29.35343870825622,21.529006881839123
