Time(s),R1(O),R2(O),R3(O),R4(O)
1734295333.9397192,Percentage:,87,Potval2:otval2:,28
1734295333.9641535,96.35,93.09,99.11,99.48
1734295334.022006,96.35,93.09,99.11,99.48
1734295334.0693748,96.35,93.09,99.11,99.48
1734295334.1158335,96.40,93.07,99.11,99.51
1734295334.1909587,96.40,93.07,99.11,99.51
1734295334.2387912,96.40,93.04,99.11,99.51
1734295334.278497,96.38,93.04,99.11,99.51
1734295334.3362675,96.38,93.04,99.11,99.48
1734295334.4100277,96.38,93.02,99.11,99.48
1734295334.4481452,96.35,93.02,99.11,99.48
1734295334.516584,96.35,93.02,99.11,99.45
1734295334.5705714,96.35,93.02,99.11,99.45
1734295334.615666,96.35,93.02,99.11,99.45
1734295334.6753771,96.35,93.02,99.11,99.43
1734295334.7259135,96.33,93.02,99.11,99.43
1734295334.776509,96.30,93.02,99.11,99.43
1734295334.8417306,96.30,93.02,99.11,99.40
1734295334.893167,96.30,93.02,99.11,99.40
1734295334.95176,96.30,93.02,99.11,99.43
1734295335.002908,96.30,93.02,99.11,99.40
1734295335.056524,96.28,93.04,99.11,99.40
1734295335.109712,96.28,93.04,99.11,99.40
1734295335.1665413,96.28,93.04,99.11,99.40
1734295335.1999805,96.28,93.07,99.11,99.40
1734295335.2482648,96.28,93.07,99.11,99.40
1734295335.3051322,96.28,93.07,99.11,99.40
1734295335.3565156,96.28,93.07,99.11,99.40
1734295335.401685,96.25,93.07,99.11,99.40
1734295335.475839,96.25,93.07,99.11,99.40
1734295335.532853,96.25,93.04,99.11,99.40
1734295335.5784028,96.25,93.04,99.11,99.40
1734295335.6277082,96.25,93.04,99.11,99.40
1734295335.6979442,96.25,93.04,99.11,99.40
1734295335.751153,96.25,93.07,99.11,99.40
1734295335.7974923,96.25,93.07,99.11,99.40
1734295335.849279,96.25,93.07,99.11,99.40
1734295335.899034,96.25,93.04,99.11,99.40
1734295335.9590433,96.25,93.04,99.11,99.40
1734295336.0129173,96.25,93.04,99.11,99.40
1734295336.0648413,96.25,93.04,99.11,99.40
1734295336.1151905,96.25,93.02,99.11,99.40
1734295336.1633687,96.25,93.02,99.11,99.40
1734295336.2159772,96.25,93.00,99.11,99.40
1734295336.2647412,96.25,93.00,99.11,99.40
1734295336.3283937,96.28,93.02,99.11,99.40
1734295336.3756964,96.28,93.02,99.11,99.40
1734295336.4447098,96.28,93.02,99.11,99.40
1734295336.4949,96.28,93.00,99.11,99.40
1734295336.5448472,96.28,93.00,99.11,99.40
1734295336.583491,96.25,93.00,99.11,99.40
1734295336.6448882,96.28,92.97,99.11,99.40
1734295336.696401,96.28,92.97,99.11,99.40
1734295336.735746,96.28,92.97,99.11,99.40
1734295336.788988,96.25,92.97,99.11,99.40
1734295336.8598664,96.25,92.97,99.11,99.40
1734295336.901266,96.23,93.00,99.11,99.40
1734295336.968569,96.23,93.00,99.11,99.40
1734295337.0132573,96.23,93.00,99.11,99.40
1734295337.0631826,96.23,92.97,99.11,99.40
1734295337.1264834,96.23,92.97,99.11,99.40
1734295337.1752589,96.23,92.97,99.11,99.40
1734295337.2264178,96.23,92.95,99.11,99.40
1734295337.2670555,96.23,92.95,99.11,99.40
1734295337.32201,96.23,92.95,99.11,99.40
1734295337.375151,96.25,92.95,99.11,99.40
1734295337.428577,96.25,92.97,99.11,99.40
1734295337.4811301,96.25,93.00,99.11,99.40
1734295337.5383635,96.25,92.97,99.11,99.40
1734295337.5814958,96.28,92.95,99.11,99.38
1734295337.6384156,96.28,92.95,99.11,99.38
1734295337.681196,96.30,92.92,99.11,99.38
1734295337.7397819,96.28,92.90,99.11,99.38
1734295337.7964134,96.28,92.90,99.11,99.38
1734295337.8660479,96.28,92.92,99.11,99.38
1734295337.9174988,96.28,92.90,99.11,99.38
1734295338.041469,96.28,92.88,99.11,99.38
1734295338.1590428,96.28,92.88,99.11,99.38
1734295338.289164,96.28,92.88,99.11,99.38
1734295338.4071772,96.28,92.85,99.11,99.38
1734295338.5323439,96.28,92.83,99.11,99.38
1734295338.6635537,96.28,92.83,99.11,99.38
1734295338.7772887,96.28,92.83,99.11,99.38
1734295338.913062,96.28,92.83,99.11,99.38
1734295339.0358639,96.28,92.83,99.11,99.40
1734295339.1558387,96.28,92.83,99.11,99.40
1734295339.2860482,96.28,92.85,99.11,99.40
1734295339.4080007,96.30,92.85,99.08,99.40
1734295339.5343232,96.30,92.85,99.08,99.40
1734295339.658521,96.30,92.83,99.08,99.40
1734295339.7834666,96.30,92.83,99.08,99.40
1734295339.9080627,96.30,92.83,99.08,99.40
1734295340.0265565,96.30,92.85,99.08,99.40
1734295340.1580715,96.30,92.85,99.08,99.40
1734295340.2799132,96.30,92.85,99.08,99.40
1734295340.3954625,96.30,92.88,99.06,99.40
1734295340.5311391,96.30,92.85,99.06,99.40
1734295340.6453705,96.30,92.83,99.06,99.40
1734295340.7741208,96.28,92.85,99.03,99.43
1734295340.892368,96.28,92.85,99.03,99.43
1734295341.029558,96.28,92.83,99.03,99.43
1734295341.1440136,96.28,92.80,99.01,99.45
1734295341.2798905,96.28,92.80,99.03,99.45
1734295341.3884223,96.30,92.80,99.03,99.45
1734295341.527336,96.28,92.80,99.03,99.48
1734295341.6383064,96.28,92.80,99.03,99.48
1734295341.778997,96.28,92.80,99.03,99.45
1734295341.9027758,96.28,92.78,99.01,99.48
1734295342.026097,96.25,92.78,99.01,99.48
1734295342.1511855,96.28,92.78,99.01,99.45
1734295342.275829,96.28,92.75,99.01,99.48
1734295342.3950865,96.25,92.75,99.01,99.48
1734295342.525283,96.28,92.75,99.01,99.45
1734295342.6398742,96.30,92.73,99.03,99.45
1734295342.7732723,96.28,92.73,99.03,99.45
1734295342.8890464,96.30,92.73,99.03,99.43
1734295343.0254045,96.30,92.71,99.06,99.43
1734295343.144053,96.28,92.71,99.06,99.43
1734295343.271093,96.28,92.71,99.03,99.40
1734295343.3888643,96.30,92.71,99.03,99.40
1734295343.521256,96.28,92.71,99.03,99.40
1734295343.6394503,96.30,92.71,99.01,99.43
1734295343.7593684,96.30,92.68,99.03,99.43
1734295343.8930142,96.30,92.68,99.03,99.43
1734295344.020399,96.30,92.68,99.01,99.45
1734295344.143483,96.30,92.68,99.03,99.45
1734295344.2572343,96.30,92.68,99.03,99.45
1734295344.3933363,96.30,92.68,99.03,99.48
1734295344.5195053,96.30,92.68,99.03,99.48
1734295344.6403253,96.33,92.68,99.03,99.45
1734295344.7587316,96.33,92.68,99.01,99.48
1734295344.8922775,96.30,92.71,99.01,99.48
1734295345.0194736,96.33,92.71,99.01,99.45
1734295345.140625,96.33,92.71,99.01,99.48
1734295345.2561197,96.30,92.71,99.01,99.48
1734295345.3884616,96.33,92.71,99.01,99.45
1734295345.5153623,96.33,92.68,99.03,99.45
1734295345.6424162,96.30,92.71,99.03,99.45
1734295345.753245,96.30,92.71,99.03,99.43
1734295345.8852832,96.30,92.68,99.06,99.43
1734295346.0090332,96.28,92.68,99.06,99.43
1734295346.1355765,96.30,92.68,99.03,99.40
1734295346.2647517,96.30,92.66,99.03,99.40
1734295346.388039,96.28,92.66,99.03,99.40
1734295346.5108855,96.28,92.66,99.01,99.43
1734295346.635479,96.28,92.63,99.03,99.43
1734295346.7607136,96.28,92.63,99.03,99.43
1734295346.8841362,96.28,92.63,99.01,99.45
1734295347.00344,96.28,92.61,99.03,99.45
1734295347.1359193,96.30,92.61,99.03,99.45
1734295347.2557015,96.30,92.61,99.03,99.48
1734295347.3870156,96.30,92.63,99.03,99.48
1734295347.5041587,96.33,92.63,99.03,99.45
1734295347.6239638,96.35,92.63,99.01,99.48
1734295347.760115,96.33,92.66,99.01,99.48
1734295347.882347,96.35,92.66,99.01,99.45
1734295348.0076504,96.35,92.66,99.01,99.48
1734295348.124917,96.33,92.68,99.01,99.48
1734295348.2595513,96.35,92.68,99.01,99.45
1734295348.3772442,96.35,92.66,99.03,99.45
1734295348.49737,96.33,92.66,99.03,99.45
1734295348.6324544,96.35,92.66,99.03,99.43
1734295348.7450721,96.35,92.63,99.06,99.43
1734295348.8803387,96.33,92.63,99.06,99.43
1734295348.9993773,96.33,92.63,99.03,99.40
1734295349.122876,96.33,92.61,99.03,99.40
1734295349.255116,96.30,92.61,99.03,99.40
1734295349.37206,96.30,92.61,99.01,99.43
1734295349.5045037,96.30,92.58,99.03,99.43
1734295349.627243,96.30,92.56,99.03,99.43
1734295349.7495441,96.30,92.54,99.01,99.45
1734295349.8751268,96.30,92.51,99.03,99.45
1734295349.991439,96.33,92.49,99.03,99.45
1734295350.1273081,96.33,92.49,99.03,99.48
1734295350.2499454,96.33,92.49,99.03,99.48
1734295350.3753684,96.35,92.49,99.03,99.45
1734295350.4944837,96.35,92.46,99.01,99.48
1734295350.625559,96.33,92.46,99.01,99.48
1734295350.747324,96.35,92.49,99.01,99.45
1734295350.8766158,96.35,92.46,99.01,99.48
1734295350.987245,96.33,92.46,99.01,99.48
1734295351.1094072,96.35,92.44,99.01,99.48
1734295351.2482176,96.35,92.42,99.03,99.48
1734295351.3723269,96.33,92.42,99.03,99.48
1734295351.4942822,96.35,92.42,99.03,99.45
1734295351.6228955,96.35,92.42,99.03,99.45
1734295351.738603,96.33,92.42,99.03,99.45
1734295351.872135,96.33,92.42,99.01,99.43
1734295351.991641,96.33,92.37,99.01,99.43
1734295352.1172729,96.30,92.37,99.01,99.43
1734295352.2408133,96.30,92.37,98.98,99.45
1734295352.3582902,96.30,92.34,99.01,99.45
1734295352.4928975,96.30,92.34,99.01,99.45
1734295352.6096675,96.30,92.32,98.98,99.48
1734295352.7448997,96.30,92.30,99.01,99.48
1734295352.8676443,96.33,92.30,99.01,99.48
1734295352.9906523,96.33,92.30,99.01,99.48
1734295353.1108558,96.33,92.30,99.01,99.48
1734295353.2445662,96.35,92.30,99.01,99.45
1734295353.3613634,96.35,92.30,98.98,99.48
1734295353.4901493,96.33,92.30,99.01,99.48
1734295353.60655,96.35,92.30,99.01,99.45
1734295353.740177,96.35,92.30,99.01,99.48
1734295353.8671582,96.33,92.30,98.98,99.48
1734295353.9898813,96.35,92.30,98.98,99.45
1734295354.1155815,96.35,92.27,98.98,99.45
1734295354.2363224,96.33,92.30,98.98,99.45
1734295354.3551686,96.35,92.30,98.98,99.43
1734295354.4897807,96.35,92.27,98.98,99.43
1734295354.61185,96.33,92.30,98.98,99.43
1734295354.738695,96.33,92.30,98.96,99.40
1734295354.8571618,96.33,92.27,98.93,99.40
1734295354.9837065,96.30,92.25,98.93,99.40
1734295355.1093366,96.30,92.25,98.90,99.43
1734295355.2253668,96.30,92.22,98.90,99.43
1734295355.355886,96.30,92.20,98.88,99.43
1734295355.475322,96.30,92.20,98.85,99.45
1734295355.6042776,96.30,92.18,98.85,99.45
1734295355.7340646,96.33,92.18,98.88,99.45
1734295355.8616817,96.33,92.15,98.85,99.48
1734295355.9767416,96.33,92.18,98.85,99.48
1734295356.106418,96.35,92.18,98.83,99.45
1734295356.2323315,96.35,92.15,98.80,99.48
1734295356.3570328,96.33,92.15,98.83,99.48
1734295356.471106,96.35,92.15,98.80,99.45
1734295356.6071439,96.35,92.13,98.80,99.48
1734295356.727684,96.33,92.13,98.80,99.48
1734295356.8572516,96.35,92.13,98.77,99.45
1734295356.9834635,96.35,92.10,98.77,99.45
1734295357.106148,96.33,92.10,98.77,99.45
1734295357.2202363,96.35,92.10,98.77,99.43
1734295357.3556366,96.35,92.08,98.77,99.43
1734295357.4752498,96.33,92.08,98.77,99.43
1734295357.5923972,96.33,92.08,98.75,99.40
1734295357.7294478,96.33,92.06,98.75,99.40
1734295357.8383315,96.30,92.03,98.75,99.40
1734295357.9729419,96.30,92.01,98.75,99.43
1734295358.08928,96.30,91.98,98.75,99.43
1734295358.2249432,96.30,91.98,98.72,99.43
1734295358.3386784,96.30,91.96,98.72,99.45
1734295358.4724505,96.30,91.94,98.72,99.45
1734295358.591943,96.33,91.94,98.72,99.45
1734295358.7246609,96.33,91.94,98.72,99.48
1734295358.8395393,96.33,91.94,98.72,99.48
1734295358.9729574,96.35,91.94,98.72,99.45
1734295359.096137,96.35,91.94,98.72,99.48
1734295359.2242692,96.33,91.94,98.72,99.48
1734295359.3485951,96.35,91.94,98.72,99.45
1734295359.4738445,96.35,91.94,98.70,99.48
1734295359.5914898,96.33,91.94,98.70,99.48
1734295359.7108133,96.35,91.94,98.70,99.45
1734295359.8469486,96.35,91.91,98.70,99.45
1734295359.9689472,96.33,91.94,98.70,99.45
1734295360.0914886,96.35,91.94,98.70,99.45
1734295360.2114127,96.35,91.91,98.70,99.45
1734295360.339244,96.33,91.91,98.70,99.45
1734295360.4570816,96.33,91.91,98.70,99.45
1734295360.5964818,96.33,91.89,98.70,99.45
1734295360.7178755,96.30,91.89,98.70,99.45
1734295360.8422275,96.30,91.89,98.70,99.48
1734295360.9579012,96.30,91.86,98.70,99.48
1734295361.0918622,96.30,91.84,98.70,99.48
1734295361.204158,96.30,91.82,98.70,99.51
1734295361.3422806,96.30,91.79,98.72,99.51
1734295361.4641678,96.33,91.79,98.72,99.51
1734295361.5915337,96.33,91.77,98.72,99.53
1734295361.7052808,96.33,91.77,98.72,99.53
1734295361.82808,96.35,91.74,98.72,99.51
1734295361.9591546,96.35,91.72,98.72,99.51
1734295362.0872731,96.33,91.72,98.72,99.51
1734295362.2116578,96.35,91.72,98.72,99.51
1734295362.3392277,96.35,91.70,98.70,99.51
1734295362.45941,96.33,91.70,98.70,99.51
1734295362.5911644,96.35,91.67,98.70,99.48
1734295362.7138147,96.35,91.62,98.70,99.48
1734295362.8247218,96.35,91.62,98.70,99.48
1734295362.9601674,96.38,91.62,98.70,99.48
1734295363.077284,96.38,91.60,98.70,99.48
1734295363.2114718,96.35,91.60,98.70,99.48
1734295363.3300328,96.35,91.60,98.67,99.48
1734295363.462602,96.35,91.58,98.67,99.48
1734295363.5866306,96.33,91.58,98.67,99.48
1734295363.7054224,96.33,91.58,98.65,99.51
1734295363.8322036,96.33,91.55,98.65,99.51
1734295363.9594038,96.33,91.55,98.65,99.51
1734295364.0791945,96.33,91.55,98.62,99.51
1734295364.2060833,96.33,91.53,98.65,99.51
1734295364.3276043,96.35,91.51,98.65,99.51
1734295364.4587996,96.35,91.51,98.65,99.53
1734295364.5818248,96.35,91.51,98.65,99.53
1734295364.7024345,96.35,91.51,98.65,99.53
1734295364.824406,96.35,91.48,98.62,99.53
1734295364.9562936,96.33,91.48,98.62,99.53
1734295365.0809152,96.35,91.46,98.62,99.53
1734295365.2055554,96.35,91.43,98.62,99.53
1734295365.3256164,96.33,91.43,98.62,99.53
1734295365.4429448,96.35,91.41,98.62,99.53
1734295365.5795994,96.35,91.39,98.65,99.53
1734295365.6989253,96.33,91.39,98.65,99.53
1734295365.8236992,96.35,91.36,98.65,99.53
1734295365.942121,96.35,91.34,98.67,99.53
1734295366.0772235,96.35,91.34,98.67,99.53
1734295366.1890144,96.35,91.34,98.65,99.53
1734295366.3259068,96.35,91.29,98.65,99.53
1734295366.4536428,96.33,91.29,98.65,99.53
1734295366.5625226,96.33,91.27,98.62,99.53
1734295366.6959648,96.33,91.24,98.65,99.53
1734295366.8250124,96.33,91.24,98.65,99.53
1734295366.9491858,96.33,91.24,98.62,99.53
1734295367.07376,96.33,91.22,98.65,99.53
1734295367.1989832,96.35,91.20,98.65,99.53
1734295367.318105,96.35,91.20,98.65,99.53
1734295367.4490392,96.35,91.17,98.65,99.53
1734295367.575781,96.38,91.17,98.65,99.53
1734295367.6986914,96.38,91.17,98.62,99.53
1734295367.8200672,96.35,91.15,98.62,99.53
1734295367.941688,96.35,91.15,98.62,99.53
1734295368.0647006,96.35,91.12,98.62,99.53
1734295368.193744,96.33,91.12,98.62,99.53
1734295368.3119733,96.35,91.10,98.62,99.53
1734295368.4390092,96.35,91.08,98.62,99.53
1734295368.565443,96.35,91.08,98.62,99.53
1734295368.6936803,96.38,91.05,98.62,99.53
1734295368.8206427,96.38,91.01,98.65,99.53
1734295368.9418101,96.35,91.01,98.62,99.53
1734295369.0658534,96.35,91.01,98.59,99.53
1734295369.1903734,96.35,90.96,98.57,99.53
1734295369.316528,96.33,90.96,98.54,99.53
1734295369.4286027,96.33,90.93,98.52,99.53
1734295369.5660799,96.33,90.89,98.52,99.53
1734295369.693347,96.33,90.89,98.49,99.53
1734295369.813622,96.33,90.86,98.47,99.53
1734295369.9375117,96.33,90.84,98.47,99.53
1734295370.0567076,96.35,90.82,98.44,99.53
1734295370.1923013,96.35,90.79,98.41,99.53
1734295370.3042166,96.35,90.77,98.41,99.53
1734295370.4372194,96.35,90.75,98.39,99.53
1734295370.5548484,96.35,90.72,98.36,99.53
1734295370.6887252,96.35,90.72,98.34,99.53
1734295370.8029633,96.38,90.70,98.34,99.53
1734295370.9239302,96.38,90.67,98.31,99.53
1734295371.0643675,96.38,90.67,98.31,99.53
1734295371.1744173,96.40,90.65,98.31,99.53
1734295371.314993,96.40,90.60,98.31,99.53
1734295371.431369,96.40,90.60,98.31,99.53
1734295371.5603418,96.43,90.58,98.31,99.53
1734295371.6772676,96.43,90.53,98.31,99.53
1734295371.8108506,96.43,90.51,98.31,99.53
1734295371.9257967,96.43,90.49,98.29,99.53
1734295372.056668,96.43,90.44,98.29,99.53
1734295372.183233,96.43,90.41,98.29,99.53
1734295372.309798,96.43,90.39,98.26,99.53
1734295372.4328418,96.43,90.34,98.26,99.53
1734295372.55058,96.40,90.30,98.26,99.53
1734295372.6779099,96.40,90.27,98.23,99.53
1734295372.7937636,96.40,90.20,98.26,99.53
1734295372.928969,96.40,90.16,98.26,99.53
1734295373.04343,96.40,90.11,98.26,99.53
1734295373.1751544,96.40,90.09,98.26,99.53
1734295373.293614,96.40,90.04,98.26,99.53
1734295373.4302747,96.40,89.99,98.23,99.53
1734295373.5557237,96.40,89.94,98.21,99.53
1734295373.682286,96.40,89.90,98.18,99.53
1734295373.7935295,96.40,89.85,98.18,99.53
1734295373.9282255,96.40,89.83,98.16,99.53
1734295374.0448468,96.40,89.78,98.13,99.53
1734295374.1771846,96.40,89.71,98.13,99.53
1734295374.3053563,96.40,89.69,98.11,99.53
1734295374.4276695,96.43,89.66,98.08,99.53
1734295374.550862,96.43,89.59,98.08,99.53
1734295374.6727142,96.43,89.59,98.05,99.53
1734295374.788475,96.43,89.57,98.03,99.53
1734295374.9275968,96.43,89.52,98.00,99.53
1734295375.0403283,96.43,89.48,97.98,99.53
1734295375.1734052,96.43,89.45,97.95,99.53
1734295375.2896066,96.43,89.41,97.95,99.53
1734295375.4233706,96.40,89.38,97.95,99.53
1734295375.541618,96.40,89.38,97.95,99.53
1734295375.672826,96.40,89.36,97.95,99.53
1734295375.7867372,96.40,89.34,97.95,99.53
1734295375.9212415,96.40,89.31,97.95,99.53
1734295376.0493894,96.40,89.31,97.95,99.53
1734295376.159318,96.40,89.29,97.95,99.53
1734295376.2952394,96.40,89.29,97.93,99.53
1734295376.4222875,96.40,89.29,97.93,99.53
1734295376.5451741,96.40,89.29,97.93,99.53
1734295376.6724637,96.40,89.27,97.90,99.53
1734295376.7922897,96.40,89.27,97.90,99.53
1734295376.9187136,96.40,89.27,97.90,99.53
1734295377.0446863,96.40,89.24,97.90,99.53
1734295377.1591055,96.38,89.24,97.90,99.53
1734295377.2893336,96.40,89.24,97.90,99.53
1734295377.407686,96.40,89.22,97.90,99.53
1734295377.541247,96.40,89.22,97.90,99.53
