imgnum,timestamp,Angle1(deg),Angle2(deg)
0,1733282929.7631376,-0.49,14.87
1,1733282929.799722,-1.17,15.21
2,1733282929.8493123,-1.17,15.21
3,1733282929.8982596,-1.17,15.21
4,1733282929.9507918,-0.5,15.34
5,1733282930.0087416,-0.5,15.34
6,1733282930.061973,-0.5,15.34
7,1733282930.117671,-0.5,15.34
8,1733282930.1704707,-0.5,15.34
9,1733282930.2233338,-0.39,15.81
10,1733282930.2759724,-0.39,15.81
11,1733282930.331897,-0.39,15.81
12,1733282930.3806546,-0.65,15.95
13,1733282930.4328876,0.07,15.81
14,1733282930.483954,-0.2,15.95
15,1733282930.5316637,0.39,15.95
16,1733282930.5802026,0.26,16.08
17,1733282930.6332695,0.26,16.08
18,1733282930.6831615,0.25,15.95
19,1733282930.7340572,0.39,15.95
20,1733282930.7840996,-0.08,16.42
21,1733282930.8355856,-0.08,16.42
22,1733282930.8850734,0.05,16.42
23,1733282930.936473,-0.08,16.42
24,1733282930.9879603,-0.08,16.42
25,1733282931.048164,0.51,16.42
26,1733282931.0970666,0.51,16.42
27,1733282931.1488922,0.51,16.42
28,1733282931.2000158,0.51,16.42
29,1733282931.2502232,0.96,16.42
30,1733282931.2978857,0.96,16.42
31,1733282931.348494,0.82,16.56
32,1733282931.3987796,0.82,16.56
33,1733282931.4645975,1.28,16.56
34,1733282931.5148387,0.49,16.89
35,1733282931.5657883,0.49,16.89
36,1733282931.6141691,0.49,16.89
37,1733282931.668304,0.35,17.03
38,1733282931.7184694,0.35,17.03
39,1733282931.7671845,0.95,16.89
40,1733282931.8371315,0.81,17.03
41,1733282931.892871,0.81,17.03
42,1733282931.9450438,1.4,17.03
43,1733282931.99851,1.26,17.03
44,1733282932.0490384,1.26,17.03
45,1733282932.0999925,1.26,17.03
46,1733282932.1493394,0.64,17.65
47,1733282932.198338,1.23,17.5
48,1733282932.2500274,1.68,17.65
49,1733282932.3012629,0.77,18.12
50,1733282932.3554199,1.21,18.12
51,1733282932.4120731,1.35,18.59
52,1733282932.4675446,1.8,18.59
53,1733282932.5205953,2.08,18.75
54,1733282932.5723183,1.61,19.22
55,1733282932.6261148,2.05,19.22
56,1733282932.683262,2.82,19.69
57,1733282932.733702,2.47,19.86
58,1733282932.7843719,2.91,19.86
59,1733282932.8348699,2.01,20.32
60,1733282932.8828275,2.63,20.32
61,1733282932.941136,3.07,20.32
62,1733282932.9853404,3.07,20.32
63,1733282933.0360577,2.78,20.61
64,1733282933.0876272,3.22,20.79
65,1733282933.138004,3.22,20.79
66,1733282933.18819,3.28,20.97
67,1733282933.244195,3.28,20.97
68,1733282933.3002932,3.46,20.79
69,1733282933.3523955,3.19,21.25
70,1733282933.4033635,3.82,21.25
71,1733282933.4561427,3.62,21.25
72,1733282933.5068078,4.25,21.25
73,1733282933.5641432,3.36,21.71
74,1733282933.617375,3.79,21.71
75,1733282933.6681788,3.79,21.71
76,1733282933.7314546,3.79,21.71
77,1733282933.7855804,4.22,21.71
78,1733282933.8397777,4.43,21.71
79,1733282933.8926985,4.43,21.71
80,1733282933.946607,4.43,21.71
81,1733282933.9974413,4.46,21.89
82,1733282934.0468426,3.58,22.35
83,1733282934.098506,3.58,22.35
84,1733282934.149327,3.58,22.35
85,1733282934.1994133,3.58,22.35
86,1733282934.2495596,3.58,22.35
87,1733282934.301744,4.22,22.35
88,1733282934.3507833,4.22,22.35
89,1733282934.4089186,4.22,22.35
90,1733282934.4681215,4.22,22.35
91,1733282934.516603,4.22,22.35
92,1733282934.567521,4.22,22.35
93,1733282934.6206849,4.22,22.35
94,1733282934.6753595,4.64,22.35
95,1733282934.7309637,4.64,22.35
96,1733282934.7783737,3.97,22.81
97,1733282934.8308613,3.97,22.81
98,1733282934.8844445,4.18,22.81
99,1733282934.933978,4.39,22.81
100,1733282934.9963937,4.39,22.81
101,1733282935.046351,4.39,22.81
102,1733282935.1006622,4.39,22.81
103,1733282935.1504722,4.39,22.81
104,1733282935.201348,4.39,22.81
105,1733282935.2533455,4.39,22.81
106,1733282935.3143303,4.39,22.81
107,1733282935.367484,4.39,22.81
108,1733282935.4201949,4.39,22.81
109,1733282935.4812334,4.39,22.81
