Time(s),R1(O),R2(O),R3(O),R4(O)
0.0,15.23,13.80,13.34,163.41
0.0,15.23,13.80,13.34,163.41
0.0,15.23,13.80,13.34,163.36
0.01,15.23,13.81,13.34,163.36
0.01,15.23,13.82,13.34,162.99
0.01,15.23,13.83,13.34,162.62
0.01,15.23,13.84,13.34,162.44
0.01,15.23,13.85,13.34,162.02
0.01,15.23,13.85,13.34,161.61
0.01,15.23,13.86,13.34,161.29
0.01,15.23,13.87,13.34,161.06
0.02,15.23,13.89,13.34,160.88
0.02,15.23,13.89,13.34,160.65
0.02,15.22,13.89,13.36,160.47
0.03,15.22,13.89,13.37,160.33
0.03,15.22,13.90,13.39,160.20
0.03,15.22,13.90,13.39,160.06
0.03,15.22,13.91,13.40,159.97
0.03,15.22,13.90,13.41,159.88
0.03,15.21,13.90,13.42,160.11
0.03,15.21,13.90,13.43,160.33
0.03,15.21,13.90,13.43,160.38
0.03,15.20,13.90,13.44,160.70
0.04,15.19,13.90,13.45,161.01
0.04,15.18,13.90,13.45,161.33
0.04,15.18,13.92,13.45,161.61
0.04,15.17,13.92,13.45,161.75
0.04,15.16,13.93,13.44,162.02
0.04,15.16,13.96,13.42,162.30
0.04,15.15,13.99,13.39,162.21
0.05,15.15,14.00,13.36,162.21
0.05,15.16,14.02,13.33,162.53
0.05,15.15,14.03,13.29,162.81
0.05,15.15,14.04,13.26,163.04
0.05,15.16,14.04,13.22,163.22
0.06,15.15,14.04,13.19,163.41
0.07,15.15,14.04,13.15,163.18
0.09,15.16,14.04,13.11,162.90
0.12,15.17,14.04,13.07,162.58
0.16,15.18,14.04,13.04,162.16
0.19,15.18,14.03,13.01,161.70
0.23,15.18,14.02,12.98,161.38
0.26,15.18,14.01,12.96,160.92
0.29,15.19,13.99,12.93,160.42
0.32,15.20,13.97,12.92,160.29
0.36,15.20,13.96,12.90,160.06
0.39,15.20,13.95,12.89,159.56
0.42,15.21,13.93,12.89,159.11
0.45,15.21,13.92,12.87,158.71
0.49,15.21,13.92,12.87,158.35
0.52,15.21,13.94,12.89,158.00
0.55,15.20,13.95,12.91,158.00
0.58,15.21,13.96,12.91,158.04
0.6,15.30,13.96,13.01,158.13
0.65,15.43,14.02,13.09,139.99
0.68,15.49,14.04,13.16,124.19
0.71,15.59,14.05,13.25,110.48
0.74,15.67,14.06,13.33,98.47
0.77,15.76,14.07,13.39,88.21
0.81,15.84,14.08,13.37,79.13
0.84,15.93,14.13,13.34,70.93
0.87,16.02,14.16,13.29,70.91
0.89,16.11,14.21,13.25,63.59
0.93,16.24,14.25,13.22,56.83
0.95,16.34,14.29,13.17,56.80
0.99,16.55,14.30,13.12,56.75
1.02,16.71,14.30,13.05,56.72
1.06,16.84,14.29,13.02,56.71
1.09,16.70,19.21,12.79,50.57
1.12,16.70,19.22,12.60,50.95
1.14,16.81,19.23,12.42,51.36
1.17,17.00,19.25,12.27,51.49
1.21,16.98,24.67,12.08,51.58
1.24,16.96,30.66,11.99,51.37
